연번,산별,주소,길이(km),길구분,노선수,전화번호,주차장유무,트레킹길유무,둘레길유무
1,천성산,경상남도 양산시 하북면 내원로 207,55.5,등산로,11,055-392-2114,Y,N,N
2,영축산,경상남도 양산시 하북면 통도사로 108,37.8,등산로,8,데이터미집계,Y,Y,N
3,오봉산,경상남도 양산시 원동면 화제리,25.9,등산로,10,055-382-4112,N,N,Y
4,금정산,경상남도 양산시 동면 가산리 산1-1,18.7,등산로,4,데이터미집계,N,Y,N
5,대운산,경상남도 양산시 삼호동,25.4,등산로,6,데이터미집계,N,Y,N
6,천태산,경상남도 양산시 원동면,13.2,등산로,3,055-382-4112,N,N,N
7,토곡산,경상남도 양산시 원동면,15.7,등산로,4,데이터미집계,N,N,N
8,매봉산,경상남도 양산시 원동면 영포리,11.2,등산로,3,데이터미집계,N,N,N
9,장터길,경상남도 양산시 상북면 내석리,22,트레킹,4,데이터미집계,N,Y,N
10,신기산성,경상남도 양산시 신기동,6.7,등산로,4,데이터미집계,N,N,N
11,동산,경상남도 양산시 소주로 15-1,14.6,등산로,6,데이터미집계,N,N,Y
12,정족산,경상남도 양산시 하북면 용연리,3.7,등산로,1,데이터미집계,N,Y,N
13,증산,경상남도 양산시 물금읍 메기로,4.1,등산로,2,데이터미집계,N,N,Y
14,법기수원지,경상남도 양산시 동면 법기로 198-13,4.3,둘레길,1,055-383-5379,N,N,Y
15,청산산,경상남도 양산시 배움터길,4.3,둘레길,1,데이터미집계,N,N,Y
