id,name,category,type_detail,region,sido,sigungu,address,lat,lng,operator,operator_level,tel,homepage,facilities,source,operator_verified
camp-31308,연곡해변솔향기캠핑장,카라반,카라반,강원,강원특별자치도,강릉시,강원도 강릉시 연곡면 동덕리 143-11,37.8585011732194,128.852599862882,강릉관광개발공사,지방공기업·출자출연기관,033-662-2900,https://camping.gtdc.or.kr,"카라반 8면,전기시설,상하수도시설,샤워장",공유누리(행정안전부),Y
camp-31255,백도오토야영장,자동차야영장,자동차야영장,강원,강원특별자치도,고성군,강원도 고성군 죽왕면 문암항길 133,38.3016193817244,128.545914207408,고성군청,기초자치단체,010-2176-0743,http://www.baekdo.co.kr/,"오토캠핑장(74개), 화장실, 취사장, 족구장, 해수욕",공유누리(행정안전부),Y
camp-31597,송지호오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,고성군,강원도 고성군 죽왕면 동해대로 6090,38.3427788548844,128.513160364788,고성군청,기초자치단체,033-681-5244,http://camping.gwgs.go.kr,"통나무집(7동), 데크(90면),샤워장,급수대",공유누리(행정안전부),Y
camp-31469,망상 오토캠핑리조트,자동차야영장,자동차야영장,강원,강원특별자치도,동해시,강원도 동해시 동해대로6370,37.600422060442,129.078458215822,동해시청,기초자치단체,033-539-3600,http://www.campingkorea.or.kr/reservation/06.htm,"단독객실(4채), 단층연립형(6실), 복층연립형 (12실),전기시설,상하수도시설,샤워실,화장실",공유누리(행정안전부),Y
camp-31470,망상오토캠핑리조트 제2오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,동해시,강원도 동해시 망상동 393-97,37.5901304313241,129.094377027399,동해시청,기초자치단체,033-539-3618,www.mangsangcamping.or.kr/,"캐라반(20대), 일반야영장(56면),전기시설,상하수도시설,샤워실,화장실",공유누리(행정안전부),Y
camp-31474,무릉계곡힐링캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,동해시,강원도 동해시 삼화로 467,37.4643979848214,129.026555262453,동해시청,기초자치단체,033-539-3700,http://mureungvalley.or.kr,"표준형(32면), 특별형(3면),전기시설,상하수도시설,샤워실,화장실",공유누리(행정안전부),Y
camp-31550,추암오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,동해시,강원도 동해시 촛대바위길 28 (추암동),37.4770967561542,129.159191877666,동해시시설관리공단,지방공기업·출자출연기관,033-539-3736,https://www.chuamautocamping.or.kr/guide/02_02.htm,"오토캠핑장사이트(32동) 일반캠핑장사이트(10동),전기시설,상하수도시설,샤워실,화장실",공유누리(행정안전부),Y
camp-gc-001,가곡 유황온천 국민여가캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,삼척시,강원특별자치도 삼척시 가곡면 가곡천로 1512,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31471,맹방 비치캠핑장,일반야영장,일반야영장,강원,강원특별자치도,삼척시,강원도 삼척시 근덕면 하맹방리 산 1-7,37.3878629058664,129.234121418382,삼척시청,기초자치단체,033-820-8850,https://smacheokcmap.quv.kr/home,"일반야영장(44면), 자동차야영장사이트(3면), 글램핑시설(3면),산책로,낚시,해수욕,청소년체험시설,어린이놀이시설",공유누리(행정안전부),Y
camp-31262,병풍바위야영장,자동차야영장,자동차야영장,강원,강원특별자치도,삼척시,강원도 삼척시 산양서원1길 89-0 산양1리마을회관,37.1410349568839,129.280329006333,삼척시청,기초자치단체,033-572-8658,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1360&viewType=read01,"40,전기시설,상하수도시설,샤워실",공유누리(행정안전부),Y
