id,name,sigungu,reservation_org,reservation_url,reservation_open,use_season,reservation_note
camp-31308,연곡해변솔향기캠핑장,강릉시,강릉관광개발공사,https://camping.gtdc.or.kr,,,
camp-31255,백도오토야영장,고성군,고성군청,http://www.baekdo.co.kr/,,,
camp-31597,송지호오토캠핑장,고성군,고성군청,http://camping.gwgs.go.kr,,,
camp-31469,망상 오토캠핑리조트,동해시,동해시청,http://www.campingkorea.or.kr/reservation/06.htm,,,
camp-31470,망상오토캠핑리조트 제2오토캠핑장,동해시,동해시청,www.mangsangcamping.or.kr/,,,
camp-31474,무릉계곡힐링캠핑장,동해시,동해시청,http://mureungvalley.or.kr,,,
camp-31550,추암오토캠핑장,동해시,동해시시설관리공단,https://www.chuamautocamping.or.kr/guide/02_02.htm,,,
camp-gc-001,가곡 유황온천 국민여가캠핑장,삼척시,,,,,
camp-31471,맹방 비치캠핑장,삼척시,삼척시청,https://smacheokcmap.quv.kr/home,,,
camp-31262,병풍바위야영장,삼척시,삼척시청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1360&viewType=read01,,,
camp-31337,장호비치캠핑장,삼척시,삼척시청,http://www.janghocamping.kr/,,,
camp-31596,속초국민여가캠핑장,속초시,속초시시설관리공단,http://reserve.sokchosiseol.or.kr/homepage/info.jsp,,,
camp-gc-002,속초해변 국민여가 캠핑장,속초시,,,,,
camp-31191,국토정중앙천문대야영장,양구군,양구군청,http://yanggu.ticketplay.zone/portal/index,,,
camp-31354,지경국민여가캠핑장,양양군,강원도 양양군,http://jgcamp.kr/,,,
camp-gc-003,상동 선바위골 국민여가캠핑장,영월군,,,,,
camp-31281,성동힐링센터 휴(休)영월캠프,영월군,영월군청,https://www.sd.go.kr/reserve/contents.do?key=2170&,,,
camp-31315,영월 동강오토캠핑장,영월군,영월군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2226&viewType=read01,,,
camp-31378,펫힐링 달빛동물원 캠핑장,영월군,영월군청,http://moonlightzoo.kr/,,,
camp-31413,간현관광지 캠핑장,원주시,원주시청,https://seilplace.rweb.kr/hotel/view/419,,,
camp-gc-004,진동리 국민여가캠핑장 by zapza,인제군,,,,,
camp-30948,도사곡자연휴양림 야영장,정선군,정선군시설관리공단,https://jsimc.or.kr/layout/basic/page/page1/page11.html,,,
camp-30950,동강전망휴양림 오토캠핑장,정선군,정선군시설관리공단,https://jsimc.or.kr/layout/basic/page/page1/page09.html,,,
camp-31253,바람하늘공원 야영장,정선군,정선군시설관리공단,https://www.jsimc.or.kr/layout/basic/page/page1/page04.html,,,
camp-31300,아우라지관광지,정선군,정선군시설관리공단,https://www.jeongseon.go.kr/tour/jeongseontour/attractions?contentSeq=289&mode=read,,,
camp-31341,정선국민여가캠핑장,정선군,정선군시설관리공단,https://www.watchticket.co.kr/html/main/main_hoedong.asp,,,
camp-31342,정선군생태체험학습장야영장,정선군,정선군시설관리공단,https://jsimc.or.kr/layout/basic/page/page1/page14.html,,,
camp-31348,졸드루야영장,정선군,정선군청,https://www.jeongseon.go.kr/tour/jeongseontour/attractions,,,
camp-31390,항골계곡 야영장,정선군,정선군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3485&viewType=read03,,,
camp-31396,화암약수 야영장,정선군,정선군시설관리공단,https://www.watchticket.co.kr/html/main/main_hwaam.asp,,,
camp-31296,쉬리마을농어촌관광휴양단지야영장,철원군,철원군청,http://swiripark.com/,,,
