name,sido,sigungu,address,general_site,auto_site,glamping,caravan,permit_date,tier,source,verified,operator_class,forest_overlap
폭포골자연휴양림야영장,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 황어대길 46-3,20,40,0,0,2016-05-10,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
가곡 유황온천 국민여가캠핑장,강원특별자치도,삼척시,강원특별자치도 삼척시 가곡면 가곡천로 1512,0,0,0,15,2023-04-05,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
속초해변 국민여가 캠핑장,강원특별자치도,속초시,강원특별자치도 속초시 해오름로 177 (조양동),0,56,0,0,2014-03-06,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
상동 선바위골 국민여가캠핑장,강원특별자치도,영월군,강원특별자치도 영월군 상동읍 선바위길 72,6,0,6,0,2022-05-30,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
피노키오 자연휴양림 야영장,강원특별자치도,원주시,강원특별자치도 원주시 신림면 소야1길 72,80,20,0,0,2016-01-26,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
갯골자연휴양림 야영장,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 남북리 709,0,15,0,0,2023-09-27,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
진동리 국민여가캠핑장 by zapza,강원특별자치도,인제군,강원특별자치도 인제군 기린면 진동리 618번지,44,0,0,0,2021-06-11,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
구곡폭포 국민여가 캠핑장,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 강촌구곡길 324,10,0,0,0,2020-05-28,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
청평사 국민여가 캠핑장,강원특별자치도,춘천시,강원특별자치도 춘천시 북산면 오봉산길 630,12,7,0,0,2021-05-17,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
태백산국립공원 소도야영장,강원특별자치도,태백시,강원특별자치도 태백시 천제단길 181 (소도동),0,52,0,20,2023-03-15,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,국가기관(국립공원공단·산림청),N
태백산국립공원야영장,강원특별자치도,태백시,강원특별자치도 태백시 소도동,0,0,0,0,2015-07-31,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,국가기관(국립공원공단·산림청),N
평창 국민여가캠핑장,강원특별자치도,평창군,강원특별자치도 평창군 방림면 뇌운계곡로 829,34,9,0,0,2023-05-16,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
만산동 국민여가 캠핑장,강원특별자치도,화천군,강원특별자치도 화천군 상서면 구운리 1174,0,0,0,0,2017-05-26,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
THATS CAMPING 횡성자연휴양림야영장,강원특별자치도,횡성군,강원특별자치도 횡성군 갑천면정포로430번길 113,0,60,5,0,2015-05-29,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
솔밭체육공원오토캠핑장,강원특별자치도,횡성군,강원특별자치도 횡성군 공근면 도곡로14번길 61,30,6,0,4,2015-09-05,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
주천강 자연휴양림,강원특별자치도,횡성군,강원특별자치도 횡성군 둔내면 강변로영랑6길 115,37,0,0,0,2015-07-20,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,Y
청태산자연휴양림캠핑장,강원특별자치도,횡성군,강원특별자치도 횡성군 둔내면 청태산로 610,0,0,0,0,2015-05-29,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,국가기관(국립공원공단·산림청),Y
초막골생태공원 느티나무야영장,경기도,군포시,경기도 군포시 산본동 919,47,0,18,0,2016-06-20,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
(주)수동자연마을 힐링별밤수목원캠핑장,경기도,남양주시,경기도 남양주시 수동면 비룡로 1516-17,40,40,0,0,2015-05-19,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
너리굴문화마을 캠핑장,경기도,안성시,경기도 안성시 보개면 너리굴길 100,30,20,0,0,2019-10-02,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
장흥수목원 캠핑장,경기도,양주시,경기도 양주시 장흥면 권율로309번길 169,0,0,0,0,2015-06-17,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
국립자연휴양림관리소(중미산자연휴양림),경기도,양평군,경기도 양평군 옥천면 중미산로 1152,0,0,0,0,2015-05-18,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,국가기관(국립공원공단·산림청),Y
양평수목원 캠핑장,경기도,양평군,경기도 양평군 지평면 옥현리 1504-5,0,119,0,5,2016-05-17,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
바라산자연휴양림 야영장,경기도,의왕시,경기도 의왕시 바라산로 84 (학의동),0,0,0,0,2015-04-24,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,Y
123 치유의숲 야영장,경기도,파주시,경기도 파주시 월롱면 용상골길 357,0,0,0,0,2018-08-20,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
평택항 국민여가캠핑장,경기도,평택시,경기도 평택시 현덕면 장수리 369-3번지,0,32,0,0,2023-11-13,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,N
국망봉 자연휴양림캠핑장,경기도,포천시,경기도 포천시 이동면 장암리 산74,14,0,0,0,2016-07-22,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,Y
금동휴양림캠프1,경기도,포천시,경기도 포천시 신북면 탑신로1112번길 7-91,0,0,0,0,2023-01-20,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
금동휴양림캠프2,경기도,포천시,경기도 포천시 신북면 탑신로1112번길 7-40,0,26,0,0,2022-10-27,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
금동휴양림캠프3,경기도,포천시,경기도 포천시 신북면 탑신로1112번길 7-105,0,0,0,0,2023-08-24,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
닥박골 휴양림,경기도,포천시,경기도 포천시 신북면 심곡리 616,0,39,0,0,2016-02-15,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,Y
수목원 맛있는 글램핑,경기도,포천시,경기도 포천시 소흘읍 직동길 28,0,0,0,0,2015-09-11,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
수목원프로방스 캠핑장,경기도,포천시,경기도 포천시 신북면 탑신로 1066,0,54,0,0,2017-01-13,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,사립·민간,N
무봉산 자연휴양림,경기도,화성시,경기도 화성시 동탄순환대로24길 185 (중동),13,0,0,0,2025-07-04,A,고캠핑 전국 야영장 등록현황(한국관광공사),N,지자체,Y
