id,name,type,operator,operator_class,operator_level,sido,sigungu,region,address,lat,lng,tel,homepage,price,facilities,source
camp-30853,국립대관령자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,강릉시,강원,강원도 강릉시 성산면 삼포암길 133,37.7148797883306,128.783859177191,033-641-9990,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0111,,"숙박시설(37개),야생화정원, 산책로, 회의실(1), 체험프로그램(9개)",공유누리(행정안전부)
camp-30854,국립대관령자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,강릉시,강원,강원도 강릉시 성산면 삼포암길 133,37.7148797883306,128.783859177191,033-641-9990,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0111,,"야영장(33면),야생화정원, 산책로, 회의실(1), 체험프로그램(9개)",공유누리(행정안전부)
camp-30844,국립검봉산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,삼척시,강원,강원도 삼척시 원덕읍 임원안길 525-145,37.2398767896361,129.302164687536,033-574-2553,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0244,,"숙박시설(16개),산책로, 체험프로그램(10개)",공유누리(행정안전부)
camp-30845,국립검봉산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,삼척시,강원,강원도 삼척시 원덕읍 임원안길 525-145,37.2398767896361,129.302164687536,033-574-2553,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0244,,"야영장(22면),산책로, 체험프로그램(10개)",공유누리(행정안전부)
camp-31148,설악동자동차야영장,자동차야영장,설악산국립공원,국가기관,,강원특별자치도,속초시,강원,강원도 속초시 청봉로 25,38.1615931367521,128.545176587501,033-636-1262,https://reservation.knps.or.kr/information/campInfo.action?seqId=B031005,,"자동차(207면), 카라반(8면),테이블,샤워장,개수대,전기",공유누리(행정안전부)
camp-30864,국립미천골자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,양양군,강원,강원도 양양군 서면 미천골길 115,37.9489402006584,128.512159450596,033-673-1806,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0112,,"숙박시설(25개),산책로, 체험프로그램(14개)",공유누리(행정안전부)
camp-30865,국립미천골자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,양양군,강원,강원도 양양군 서면 미천골길 115,37.9489402006584,128.512159450596,033-673-1806,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0112,,"야영장(35면),산책로, 체험프로그램(14개)",공유누리(행정안전부)
camp-31123,구룡자동차야영장,자동차야영장,치악산국립공원,국가기관,,강원특별자치도,원주시,강원,강원도 원주시 소초면 학곡리 920,37.407752249092,128.04549355016,033-740-9900,https://reservation.knps.or.kr/information/campInfo.action?seqId=B101001,,"자동차(51면), 카라반(13면), 자연의집(3동),테이블,Wifi,샤워장,개수대,전기,계곡,탐방로,무장애,카라반,화롯대",공유누리(행정안전부)
camp-30870,국립백운산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,원주시,강원,강원도 원주시 판부면 백운산길 81,37.2771748621762,127.942098666854,033-766-1063,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0223,,"숙박시설(18개),산책로, 회의실(1), 식당, 체험프로그램(26개)",공유누리(행정안전부)
camp-31124,금대자동차야영장,자동차야영장,치악산국립공원,국가기관,,강원특별자치도,원주시,강원,강원도 원주시 판부면 영원산성길 372,37.2933486362905,128.018305348684,033-763-5232,https://reservation.knps.or.kr/information/campInfo.action?seqId=B101002,,"자동차(46면),테이블,Wifi,샤워장,개수대,전기,계곡,탐방로,무장애,화롯대",공유누리(행정안전부)
camp-31086,치악산자연휴양림,국·공립 휴양림,원주시산림조합,기타(위탁·민간),,강원특별자치도,원주시,강원,강원도 원주시 판부면 휴양림길 66,37.255873596305,128.031380004152,033-762-8288,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,,"숲속의집(7동), 황토연립동(8실), 숲속통나무집(14실) ,물놀이장, 정자, 야생화단지",공유누리(행정안전부)
camp-31087,치악산자연휴양림 야영장,일반야영장,원주시산림조합,기타(위탁·민간),,강원특별자치도,원주시,강원,강원도 원주시 판부면 휴양림길 66,37.255873596305,128.031380004152,033-762-8288,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,,"노지(6면),물놀이장, 정자, 야생화단지",공유누리(행정안전부)
camp-30868,국립방태산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,인제군,강원,강원도 인제군 기린면 방태산길 241,37.9296676817881,128.388044787846,033-463-8590,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0109,,"숙박시설(10개),산책로, 체험프로그램(3개)",공유누리(행정안전부)
camp-30869,국립방태산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,인제군,강원,강원도 인제군 기린면 방태산길 241,37.9296676817881,128.388044787846,033-463-8590,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0109,,"야영장(19면),산책로, 체험프로그램(3개)",공유누리(행정안전부)
camp-30888,국립용대자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,인제군,강원,강원도 인제군 북면 연화동길 7,38.2315901890166,128.364639026055,033-462-5031,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0102,,"숙박시설(26개),계곡 물놀이,산책로, 체험프로그램(5개)",공유누리(행정안전부)
camp-30889,국립용대자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,인제군,강원,강원도 인제군 북면 연화동길 7,38.2315901890166,128.364639026055,033-462-5031,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0102,,"야영장(10면),전기시설,상하수도시설,샤워실",공유누리(행정안전부)
camp-31105,하추자연휴양림,국·공립 휴양림,인제군산림조합,기타(위탁·민간),,강원특별자치도,인제군,강원,강원도 인제군 인제읍 하추로686,38.0346948306184,128.31930784185,033-461-0056,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030018,,"숲속의집(7동), 휴양관(4실),계곡, 회의실, 매점",공유누리(행정안전부)
camp-31106,하추자연휴양림 야영장,일반야영장,인제군산림조합,기타(위탁·민간),,강원특별자치도,인제군,강원,강원도 인제군 인제읍 하추로686,38.0346948306184,128.31930784185,033-461-0056,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030018,,"야영데크(15면),계곡, 회의실, 매점",공유누리(행정안전부)
camp-30840,국립가리왕산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,정선군,강원,강원도 정선군 정선읍 가리왕산로 707,37.4221264411933,128.575588250744,033-562-5833,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0113,,"숙박시설(24개),산책로, 체험프로그램(7개)",공유누리(행정안전부)
camp-30841,국립가리왕산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,정선군,강원,강원도 정선군 정선읍 가리왕산로 707,37.4221264411933,128.575588250744,033-562-5833,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0113,,"야영장(40면),산책로, 체험프로그램(7개)",공유누리(행정안전부)
