id,name,type,operator,operator_class,operator_level,sido,sigungu,region,address,lat,lng,tel,homepage,price,facilities,source
camp-31061,임해자연휴양림,국·공립 휴양림,강릉관광개발공사,지자체,지방공기업·출자출연기관,강원특별자치도,강릉시,강원,강원도 강릉시 강동면 율곡로 1715-85,37.7185655552007,128.998545299998,033-644-9483,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030100,,"연립동(9실), 숲속동(6실),",공유누리(행정안전부)
camp-30833,광치자연휴양림,국·공립 휴양림,양구군청,지자체,기초자치단체,강원특별자치도,양구군,강원,강원도 양구군 남면 광치령로1794번길 265,38.1419968607504,128.071075476066,033-482-3116,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030095,,"숲속의집(25동), 휴양관(8실),놀이터, 운동장, 숲속모험시설, 탐방로",공유누리(행정안전부)
camp-31019,송이밸리자연휴양림,국·공립 휴양림,양양시청,지자체,기초자치단체,강원특별자치도,양양군,강원,강원도 양양군 양양읍 고노동길 98-50,38.0540066720403,128.62144583442,033-670-2644,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030049,,"숲속의집(8동), 휴양관(14실),목재문화채험장, 생태교육장, 송이생태관, 자생식물원, 놀이터, 세미나실, 바비큐장, 짚라인",공유누리(행정안전부)
camp-30955,망경대산자연휴양림,국·공립 휴양림,영월군시설관리공단,지자체,지방공기업·출자출연기관,강원특별자치도,영월군,강원,강원도 영월군 중동면 선도우길 177,37.1838677681211,128.593484498015,033-375-8765,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030067,,"숲속의집(14동),숲속의집",공유누리(행정안전부)
camp-30947,도사곡자연휴양림,국·공립 휴양림,정선군시설관리공단,지자체,지방공기업·출자출연기관,강원특별자치도,정선군,강원,강원도 정선군 사북읍 사북리 447-15,37.2244832071129,128.792047440598,033-560-3456,https://jsimc.or.kr/layout/basic/page/page1/page11.html,,"숲속의 집(15동),계곡",공유누리(행정안전부)
camp-31078,철원두루웰숲속문화촌,국·공립 휴양림,철원군청,지자체,기초자치단체,강원특별자치도,철원군,강원,강원도 철원군 갈말읍 지경1길 69,38.2279938758042,127.353247385413,033-450-5198,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030005,,"숲속의집(14동),산책로, 실내산림욕장, 목재전시장, 어린이놀이방, 목공수업교실, 에코어드벤처",공유누리(행정안전부)
camp-30816,강원숲체험장,국·공립 휴양림,춘천시청,지자체,기초자치단체,강원특별자치도,춘천시,강원,강원도 춘천시 서면 납실길 107-64,37.9604826554468,127.638781718491,033-248-6600,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030096,,"휴양관(18실), 숲속의집(14동),산책로, 회의실, 명상장",공유누리(행정안전부)
camp-31075,집다리골자연휴양림,국·공립 휴양림,춘천시청,지자체,기초자치단체,강원특별자치도,춘천시,강원,강원도 춘천시 사북면 화악지암1길 129,37.9779363366604,127.580120875895,033-248-6716,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030043,,"숲속의집(15동), 휴양관(10실),계곡,산책로, 출렁다리",공유누리(행정안전부)
camp-31091,태백고원자연휴양림,국·공립 휴양림,태백시청,지자체,기초자치단체,강원특별자치도,태백시,강원,강원도 태백시 철암동 머리골길 153,37.1235765388425,129.06038315343,033-582-7238,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030022,,"숲속의집(15동), 휴양관(12실),산속놀이터, 식수대, 계곡",공유누리(행정안전부)
camp-30815,강씨봉자연휴양림,국·공립 휴양림,경기도,지자체,광역자치단체,경기도,가평군,서울인천경기,경기도 가평군 북면 논남기길 520,37.9698930209225,127.408328510445,031-775-4005,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030019,,"숲속의집(7동), 휴양관(9실),숙박시설, 레포츠시설, 회의실",공유누리(행정안전부)
