출발일,출발시간,장소,코스,신청인원,정보등록일시
2019-04-26,07:30,태백,검룡소길,36,2019-04-29
2019-05-08,09:00,양평,두물머리길,33,2019-05-09
2019-05-17,09:00,양평,두물머리길,27,2019-05-20
2019-05-27,09:00,충주,비내길,39,2019-05-28
2019-06-12,09:00,가평,자라섬길,31,2019-06-13
2019-06-18,08:40,여주,여강길,28,2019-06-19
2019-09-26,09:00,홍천,밤벌길,34,2019-09-27
2019-10-01,09:00,홍천,밤벌길,38,2019-10-02
2019-10-15,09:00,춘천,강촌길,39,2019-10-16
2019-10-21,08:30,춘천,강촌길,23,2019-10-22
2019-10-28,09:00,경인,아라뱃길,24,2019-10-29
2019-10-30,09:00,경인,아라뱃길,28,2019-10-31
2020-06-30,07:30,태백,검룡소길,20,2020-07-01
2021-11-10,09:00,양평,두물머리길,20,2022-05-10
2021-11-13,09:00,영월,어라연길,22,2022-05-10
2021-11-16,09:00,춘천,의암호길,25,2022-05-10
2021-11-19,09:00,서울,샛강길,31,2022-05-10
2021-11-25,09:00,포천,한탄강길,14,2022-05-10
2021-11-27,09:00,여주,여강길,17,2022-05-10
