"고유번호","명칭","파일경로","비고","X좌표","Y좌표"
"31","낙성대 산책길","낙성대 산책길.kmz","안국사-낙성대 공원","196599.478","441263.953"
"32","문화자원연계부","낙성대 산책길.kmz"," ","196488.582","441134.538"
"33","진입로(버스정류장)","낙성대 산책길.kmz"," ","196421.567","441368.253"
"24","구로지양산숲 나들길진입로2","임시 장소/구로지양산숲 나들길.kmz/임시 장소"," ","185125.164","446397.672"
"28","구룡산 나들길","구룡산 나들길.kmz","양재천 다리-달터근린공원 입구-달터근린공원-생태통로-구룡산길 시작-개암약수터","205136.472","441655.288"
"34","남산순환진입로2","남산순환나들길.kmz/임시 장소"," ","200165.81","450718.469"
"35","달마을공원 산책길진입로2","달마을공원산책길.kmz"," ","188218.068","449329.937"
"36","달마을공원산책길진입로3","달마을공원산책길.kmz"," ","188310.003","449229.331"
"37","개화산나들길진입로2","개화산나들길.kmz"," ","182658.219","453184.957"
"38","제목 없는 경로","개화산나들길.kmz"," ","182656.668","453510.473"
"39","개화산나들길진입로5","개화산나들길.kmz"," ","182677.789","453989.273"
"40","구로지양산숲나들길2","임시 장소/구로지양산숲 나들길.kmz/임시 장소"," ","185329.286","445076.247"
"43","제목 없는 경로","개화산나들길.kmz"," ","182397.714","453678.417"
"46","문화자원연계부","임시 장소/개웅산숲 산책길.kmz"," ","186481.843","442972.163"
"54","남산순환나들길","남산순환나들길.kmz/임시 장소"," ","198983.774","450133.243"
"57","대노산나들길진입로2","임시 장소/대모산 나들길.kmz"," ","208255.097","442147.186"
"58","관악산나들길","임시 장소/관악산나들길.kmz/임시 장소/임시 장소"," ","194963.012","440578.672"
"59","진입로(염창역)","달마을공원산책길.kmz"," ","188638.652","449496.216"
"60","덕수궁진입로3","덕수궁산책길.kmz/임시 장소"," ","197649.103","451595.682"
"61","독산삼성산나들길","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192106.685","440954.534"
"62","독산삼성산나들길","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192816.55","439934.601"
"63","진입로1","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192009.894","441646.124"
"64","진입로2","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192112.428","441315.64"
"66","도심고궁 나들길","도심고궁 나들길.kmz/임시 장소","서울의 대표적인 궁궐 3곳과 종묘를 걷는 코스이다. 경복궁, 창덕궁, 창경궁, 종묘의 전각과 연못들을 감상하다 보면 생각이상으로 오래 걸릴 수 있다.","197952.103","453366.154"
"56","대모산 나들길진입로1","임시 장소/대모산 나들길.kmz"," ","207711.765","442247.109"
"41","남산야외식물원진입로1","남산야외식물원산책길.kmz/임시 장소"," ","199961.585","448905.045"
"42","달마을공원산책길","달마을공원산책길.kmz","진입마당-생태연못-야생초화원-달맞이언덕-아카시아나무 숲길-전망데크-숲속길-보호초식물화원","188356.905","449310.283"
"44","고덕산 산책길","임시 장소/고덕산산책길.kmz/임시 장소","도덕산 정상","212950.132","451548.09"
"47","문화자원길","임시 장소/고덕산산책길.kmz/임시 장소"," ","212801.265","451477.595"
"48","진입로1","백사실두메 나들길.kmz/임시 장소"," ","196709.859","455793.841"
"49","진입로3","백사실두메 나들길.kmz/임시 장소"," ","197149.152","454983.155"
"50","백제석총산책길 진입로","백제석총 산책길.kmz/임시 장소"," ","209257.621","445002.367"
"51","문화자원길","임시 장소/고덕산산책길.kmz/임시 장소"," ","212948.793","451801.141"
"52","남산순환진입로3","남산순환나들길.kmz/임시 장소"," ","199373.802","450956.37"
"53","남산순환진입로4","남산순환나들길.kmz/임시 장소"," ","198759.413","450922.349"
"55","남산야외식물원산책길","남산야외식물원산책길.kmz/임시 장소"," ","199639.426","449234.118"
"45","고덕산산책길진입로","임시 장소/고덕산산책길.kmz/임시 장소"," ","212826.162","450833.154"
"1","진입로(양천향교역)","강서문화 산책길.kmz"," ","185920.833","452373.446"
"2","개운산숲진입로1","개운산숲나들길.kmz/임시 장소"," ","202341.697","455872.741"
"3","개운산숲진입로2","개운산숲나들길.kmz/임시 장소"," ","202492.532","455307.813"
"4","개운산숲진입로3","개운산숲나들길.kmz/임시 장소"," ","202805.288","455024.416"
"5","개운산숲진입로4","개운산숲나들길.kmz/임시 장소"," ","202647.085","454767.833"
"6","개운산숲진입로5","개운산숲나들길.kmz/임시 장소"," ","202839.767","454693.671"
"7","개운산숲진입로6","개운산숲나들길.kmz/임시 장소"," ","202975.809","454436.624"
"8","개운산 숲 나들길","개운산숲나들길.kmz/임시 장소","대도시에서 “녹색허파”로서의 역할과 수도권 주민들의 자연휴식처로 크게 애용되고 있다. 북학산은 주요 암봉 사이로 수십 개의 맑고 깨끗한 계곡이 형성되어 산과 물의 아름다운 조화를 빚어내고 있으며, 그 속에 1,300여 종의 동식물이 서식하고 있다. 또한 2,000년의","202611.127","455216.623"
"9","문화자원연계부","개운산숲나들길.kmz"," ","202676.469","454538.324"
"10","개웅산숲 산책길","임시 장소/개웅산숲 산책길.kmz","배드민턴장-야생화단지-숲속길","186550.171","443032.132"
"11","개웅산 숲 산책길진입로1","임시 장소/개웅산숲 산책길.kmz"," ","186535.977","443642.567"
"12","개화산나들길진입로1","개화산나들길.kmz"," ","182817.6","452809.183"
"14","관악산나들길진입로2","임시 장소/관악산나들길.kmz/임시 장소/임시 장소"," ","193773.356","439783.827"
"15","문화자원연계부","임시 장소/관악산나들길.kmz"," ","194112.065","439885.104"
"16","문화자원연계부","임시 장소/관악산나들길.kmz"," ","194142.416","440032.82"
"19","구로지양산숲 나들길","임시 장소/구로지양산숲 나들길.kmz/임시 장소","지양산숲길산책로출구~체력단련장~구로지양산숲길2~차돌바위~지양산산책로~온수역 6번 출입구~궁동터널위 지양산 숲길시작~ 야생화단지","184471.479","445327.755"
"20","관악산계곡나들길","관악산계곡나들길.kmz/임시 장소"," ","195449.6","439148.913"
"21","관악산나들길","임시 장소/관악산나들길.kmz/임시 장소/임시 장소"," ","194005.912","440051.208"
"22","개웅산숲산책길","임시 장소/개웅산숲 산책길.kmz"," ","186934.309","442715.535"
"13","관악산나들길진입로1","임시 장소/관악산나들길.kmz/임시 장소/임시 장소"," ","194539.721","440591.209"
"17","관음사 산책길","관음사 산책길.kmz","관음사-상록약수터","198052.22","440940.094"
"18","진입로(사당역)","관음사 산책길.kmz"," ","198188.92","441444.286"
"23","구로지양산숲 나들길진입로1","임시 장소/구로지양산숲 나들길.kmz/임시 장소"," ","184850.97","446611.055"
"25","덕수궁진입로1","덕수궁산책길.kmz/임시 장소"," ","197987.335","452043.295"
"26","구로지양산숲 나들길진입로4","임시 장소/구로지양산숲 나들길.kmz/임시 장소"," ","184633.951","446439.725"
"27","문화자원연계부","임시 장소/구로지양산숲 나들길.kmz"," ","184984.737","444955.619"
"29","구룡산나들길진입로1","구룡산 나들길.kmz"," ","204140.883","442822.959"
"30","구룡산나들길진입로2","구룡산 나들길.kmz"," ","204748.014","441343.714"
"146","대모산 나들길","임시 장소/대모산 나들길.kmz","실로암약수터-대모산 초소위-경작지-정자-야생화군락지-체력단련장-리기다소나무숲-독도모형-대모산정상","207288.55","441979.239"
"151","서울숲공원산책길","서울숲공원산책길.kmz/임시 장소"," ","203299.471","449350.543"
"157","성북동고택북촌 산책길","성북동고택북촌 산책길.kmz/임시 장소"," ","198692.079","455151.155"
"158","송파소리길진입로6","송파소리길.kmz/임시 장소"," ","209300.855","447008.979"
"159","북한산자락 산책길","북한산자락 산책길.kmz/임시 장소","길음초등학교 뒤편에서 시작되는 이 숲길은 서경대학교 뒤편을 지나면 성북생태체험관이 나온다. 생태체험관에서는 요일별로 다양한 생태프로그램을 운영하고 있으며 자연학습체험장이 함께 있다. 북한산 칼바위를 향한 북한산 자락길에 접어들면 울창한 잣나무 숲과 계류,","200966.97","457381.31"
"160","진입로1","북한산자락 산책길.kmz/임시 장소"," ","201612.989","457074.26"
"164","진입로1","상암산DMC체험 나들길.kmz/상암산DMC체험 나들길"," ","190847.055","453123.564"
"165","서리골서리풀나들길진입로1","임시 장소/서리골서리풀나들길.kmz/임시 장소"," ","200404.974","444764.908"
"155","어린이대공원진입로2","어린이대공원산책길.kmz/임시 장소"," ","206750.729","449965.414"
"166","서리골서리풀나들길2","임시 장소/서리골서리풀나들길.kmz/임시 장소"," ","200763.039","444452.952"
"65","덕수궁산책길","덕수궁산책길.kmz/임시 장소"," ","197531.39","452101.391"
"67","독산삼성산나들길","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192268.698","441002.205"
"68","진입로1","도심고궁 나들길.kmz/임시 장소"," ","197720.212","453209.773"
"69","진입로4","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192430.9","441437.158"
"70","진입로5","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192671.877","441206.917"
"71","진입로6","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192371.153","440451.726"
"72","진입로7","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192447.27","440241.07"
"73","진입로8","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","192395.344","440236.376"
"74","문화자원연계부","임시 장소/독산삼성산나들길.kmz"," ","191923.496","440892.887"
"75","동작충효길진입로2","동작충효길1코스-고구동산길.kmz"," ","195817.723","445847.318"
"76","동작충효길진입로3","동작충효길1코스-고구동산길.kmz"," ","195971.51","445279.081"
"77","동작충효길진입로4","동작충효길1코스-고구동산길.kmz"," ","196020.058","445296.26"
"79","동작충효길진입로5","동작충효길1코스-고구동산길.kmz"," ","196057.651","444670.585"
"80","문호자원연계부","임시 장소/독산삼성산나들길.kmz"," ","191832.088","441160.856"
"82","동작충효길진입로6","동작충효길1코스-고구동산길.kmz"," ","196134.156","444705.034"
"83","동작충효길진입로7","동작충효길1코스-고구동산길.kmz"," ","196232.979","444474.818"
"84","현충원길진입로1","동작충효길2코스-현충원길.kmz"," ","197188.672","443569.498"
"86","현충원길진입로3","동작충효길2코스-현충원길.kmz"," ","198225.394","444078.572"
"87","노량진길진입로2","동작충효길4코스-노량진길.kmz"," ","193670.812","444906.549"
"88","노량진길진입로3","동작충효길4코스-노량진길.kmz"," ","193904.738","445030.965"
"78","진입로3","임시 장소/독산삼성산나들길.kmz/임시 장소"," ","191992.558","440486.797"
"81","동작충효길1코스-고구동산길","동작충효길1코스-고구동산길.kmz","노들역4번출입구-노량진근린공원입구-고구동산길-고구동산조망명소-서달산자연생태탐방로-달마산입구","196264.915","444899.081"
"85","현충원길진입로2","동작충효길2코스-현충원길.kmz"," ","197778.325","443671.069"
"89","동작충효길3코스-한강나들길","동작충효길3코스-한강나들길.kmz","사육신공원입구-노량진배수지 시민공원-노들역2번출입구-효사정-동작역2번출입구","196666.301","445421.759"
"90","동작충효길4코스-노량진길","동작충효길4코스-노량진길.kmz","노량진수상시장-경부시설녹지-대방e편한세상아파트-노량진근린공원-생태통로-무장애등산로-마을안길-상도3치안센터","194245.669","445380.19"
"91","동작마루길진입로2","동작충효길6코스-동작마루길.kmz"," ","195088.442","443678.324"
"94","제목 없는 경로","임시 장소/동작충효길7코스-까치산길.kmz"," ","196989.307","442844.051"
"95","망우산숲진입로1","망우산숲나들길.kmz/임시 장소"," ","208454.109","453978.366"
"96","몽촌토성나들길 진입로1","몽촌토성 나들길.kmz/임시 장소"," ","210279.985","446473.848"
"97","몽촌토성나들길 진입로2","몽촌토성 나들길.kmz/임시 장소"," ","210863.631","446087.237"
"98","몽촌토성나들길 진입로3","몽촌토성 나들길.kmz/임시 장소"," ","211126.645","446188.583"
"99","노량진길진입로4","동작충효길4코스-노량진길.kmz"," ","193964.613","444928.611"
"100","문화자원길","임시 장소/동작충효길7코스-까치산길.kmz"," ","196750.237","442670.4"
"92","동작충효길5코스-보라매길","동작충효길5코스-보라매길.kmz","신대방삼거리역5번출입구-보라매e편한세상아파트-보라매삼성아파트-동작구민회관-농심관-보라매역6번출입구","193199","444111.296"
"93","동작충효길7코스-까치산길","임시 장소/동작충효길7코스-까치산길.kmz","서울시립남서울미술관-생태통로-경로당,어린이놀이터-북까페-숲속문고-상동중학교-상현중학교","197432.129","442815.061"
"101","망우산숲나들길","망우산숲나들길.kmz/임시 장소"," ","209619.125","454673.453"
"102","몽촌토성나들길 진입로4","몽촌토성 나들길.kmz/임시 장소"," ","211311.372","446546.591"
"103","동작충효길6코스-동작마루길","동작충효길6코스-동작마루길.kmz","신대방삼거리역2번출입구-청운종합복지원-국사봉숲길-국사봉주봉산책로시작-동작관악적십자봉사관-천문대-숲길입구-국사봉동쪽가지능선길시작-숭실대입구역1번출입구-상현중학교","195169.277","443992.803"
"104","몽촌토성나들길 진입로5","몽촌토성 나들길.kmz/임시 장소"," ","211215.549","446785.887"
"106","배봉산답십리진입로2","배봉산답십리나들길.kmz/임시 장소"," ","205507.526","453657.336"
