구분,법정동,노선,연장거리(km),데이터기준일자
청량산,동춘동,영일정씨묘 ∼ 시립박물관,2.3,2026-05-11
청량산,옥련동,  청룡공원 ∼ 청봉교,2.2,2026-05-11
청량산,청학동,함박중학교 ∼ 병풍바위약수터,0.3,2026-05-11
청량산,청학동,청량산교회 ∼ 송도선원 상단,0.8,2026-05-11
청량산,청학동,서해아파트 ∼ 청량터널 상단,0.9,2026-05-11
청량산,청학동,자연학습장 ∼ 흥륜사,0.7,2026-05-11
청량산,청학동,청량산 정상 ∼ 서해아파트,0.9,2026-05-11
청량산,동춘동,산우물약수터 ∼ 청량터널 상단,0.5,2026-05-11
청량산,동춘동,기타 가지등산로,0.8,2026-05-11
문학산,옥련동,법주사 ∼ 시립사격장,5.3,2026-05-11
문학산,선학동,윤성아파트 ∼ 길마산,1.8,2026-05-11
문학산,선학동,희영아파트 ∼ 길마산 전 3거리,0.6,2026-05-11
문학산,선학동,베갯골약수터 ∼ 길마산,0.6,2026-05-11
문학산,연수동,문수암 ∼ 문학산 정상,0.9,2026-05-11
문학산,연수동,장미공원 ∼ 문학산 정상,0.8,2026-05-11
문학산,청학동,삼호현 ∼ 동굴,0.8,2026-05-11
문학산,청학동,청학풀장 ∼ 삼호현,0.6,2026-05-11
문학산,청학동,청우약수터 ∼ 노적봉,0.5,2026-05-11
문학산,옥련동,송도역 뒤 ∼ 노적봉,1.2,2026-05-11
문학산,옥련동,기타 가지등산로,1.7,2026-05-11
봉재산,동춘동,달빛공원 ~ 동춘터널,2.5,2026-05-11
