공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
48,AE543,4023,4143010400,376122027C,MNG001,514,,107.07,1.3,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT001,SMW007,198240.5638,526264.6482
49,AE543,4049,4143010100,376122016A,MNG001,994,,13.69,1.8,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW002,197857.8456,527236.3712
50,AE543,4009,4143010400,376122037A,MNG001,5283,,7.36,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT002,SMW006,198391.1594,525917.4696
51,AE543,4008,4143010400,376122037C,MNG001,5284,,94.71,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT002,SMW006,198414.7655,525871.155
52,AE543,4047,4143010100,376122016A,MNG001,994,,57.5,2.1,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW002,197881.1875,527198.3847
53,AE543,4037,4143010100,376122016D,MNG001,516,,26.01,2.6,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW002,198010.7097,526976.0136
54,AE543,4011,4143010400,376122037A,MNG001,5275,,2.29,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT002,SMW006,198386.827,525925.5551
55,AE543,4017,4143010400,376122037A,MNG001,5266,,5.63,1.3,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT002,SMW006,198295.7689,526096.1811
56,AE543,4046,4143010100,376122016A,MNG001,994,,11.73,1.8,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW006,197898.359,527169.1467
57,AE543,2155,4143010300,376122052B,MNG001,765,덕성로자전거도로,17.15999985,2,0,0,0,DWY001,,1,2010-04-01,CGB001,DRT003,SMW999,196259.6543,525021.6837
58,AE543,2153,4143010300,376122052B,MNG001,765,덕성로자전거도로,30.37000084,2,0,0,0,DWY001,,1,2010-04-01,CGB002,DRT001,SMW999,196240.2173,524816.1608
59,AE543,108,4143010300,376122042C,MNG001,1028,,284.8299866,1.5,0,0,0,DWY002,,1,,CGB002,DRT002,SMW002,196222.0095,525187.8317
12,AE543,4025,4143010400,376122026B,MNG001,514,,45.91,1.3,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW007,198187.0013,526491.6239
13,AE543,4001,4143010400,376122047B,MNG001,992,,43.29,3,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198617.8429,525494.453
14,AE543,4029,4143010400,376122026B,MNG001,993,,159.14,1.9,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198158.3701,526655.822
15,AE543,4002,4143010400,376122047B,MNG001,992,,100.54,1.8,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT001,SMW006,198581.024,525562.2665
16,AE543,4014,4143010400,376122037A,MNG001,5278,,3.29,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT002,SMW006,198330.5896,526031.693
17,AE543,4006,4143010400,376122037C,MNG001,992,,8.84,2.4,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW007,198447.3848,525834.1016
18,AE543,4019,4143010400,376122037A,MNG001,514,,33.98,1.6,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198288.7511,526116.7751
19,AE543,4048,4143010100,376122016A,MNG001,994,,8.41,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW007,197864.1841,527226.7149
20,AE543,4022,4143010400,376122027C,MNG001,514,,23.08,3.7,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW004,198258.6525,526202.878
21,AE543,4005,4143010400,376122037D,MNG001,992,,120.22,2.1,0,0,0,DWY001,,1,2013-12-20,CGB001,DRT001,SMW007,198475.1921,525777.1792
22,AE543,4040,4143010100,376122016A,MNG001,994,,5.06,1.7,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW006,197985.7187,527026.3178
23,AE543,4018,4143010400,376122037A,MNG001,514,,2.8,1.3,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT001,SMW006,198295.5334,526100.1416
24,AE543,4041,4143010100,376122016A,MNG001,994,,40.51,1.4,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW002,197973.6171,527045.6884
25,AE543,4032,4143010100,376122016D,MNG001,516,,28.73,2.5,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198136.7433,526776.1092
26,AE543,4028,4143010400,376122026B,MNG001,993,,11.8,1.5,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT999,SMW007,198165.9894,526576.7838
27,AE543,4013,4143010400,376122037A,MNG001,5277,,3.67,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT002,SMW006,198332.2094,526028.6099
28,AE543,4042,4143010100,376122016A,MNG001,994,,16.18,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW006,197960.2668,527069.617
29,AE543,4050,4143010100,376122016A,MNG001,994,,15.86,1.5,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW007,197849.8318,527248.3496
30,AE543,4010,4143010400,376122037A,MNG001,5273,,4.34,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT002,SMW006,198388.391,525922.6306
31,AE543,4031,4143010100,376122016D,MNG001,515,,17.4,1.9,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198139.5748,526755.3835
32,AE543,4021,4143010400,376122037A,MNG001,514,,54.87,3.7,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW004,198270.7806,526166.4126
33,AE543,4035,4143010100,376122016D,MNG001,516,,68.11,3,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198039.3245,526940.1885
34,AE543,4015,4143010400,376122037A,MNG001,5276,,23.32,1.6,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT002,SMW006,198324.502,526042.8229
35,AE543,4030,4143010100,376122026B,MNG001,993,,12.61,1.9,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW006,198142.3265,526740.4759
36,AE543,4045,4143010100,376122016A,MNG001,994,,43.58,1.3,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW002,197912.5086,527146.4113
37,AE543,4044,4143010100,376122016A,MNG001,994,,23.79,1.3,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW006,197930.9619,527117.4877
38,AE543,4016,4143010400,376122037A,MNG001,5279,,47.28,3,0,0,0,DWY001,,1,2013-12-20,CGB001,DRT999,SMW006,198305.2543,526073.0762
39,AE543,4007,4143010400,376122037C,MNG001,1037,,9.2,1.5,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT003,SMW006,198441.2906,525835.0992
40,AE543,4038,4143010100,376122016C,MNG001,516,,35.08,2.6,0,0,0,DWY001,,1,2013-12-20,CGB002,DRT001,SMW002,197998.7281,527003.8837
41,AE543,4043,4143010100,376122016A,MNG001,994,,36.59,1.3,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW002,197946.2539,527091.7318
42,AE543,4036,4143010100,376122016D,MNG001,516,,8.2,4.1,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW007,198018.5195,526966.8326
43,AE543,4020,4143010400,376122037A,MNG001,514,,9.47,1.5,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT001,SMW006,198280.6217,526136.9759
44,AE543,4039,4143010100,376122016C,MNG001,516,,6.24,1.7,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW006,197988.6579,527021.4972
45,AE543,4004,4143010400,376122037D,MNG001,5263,,92.82,3.5,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT999,SMW004,198504.6213,525675.8272
46,AE543,4003,4143010400,376122047B,MNG001,5263,,52.8,3.7,0,0,0,DWY003,,1,2013-12-20,CGB001,DRT999,SMW004,198540.2042,525619.9132
47,AE543,4051,4143010100,376122016A,MNG001,994,,31.41,1.6,0,0,0,DWY003,,1,2013-12-20,CGB002,DRT001,SMW002,197839.1668,527269.0081
108,AE543,300008,4143010500,376121583B,MNG001,300001,,13.52000046,2.57999992,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196817.3275,528750.8162
109,AE543,300010,4143010500,376121583A,MNG001,300002,,66.65000153,2.50999999,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196655.43,528698.2493
110,AE543,300005,4143010500,376121583B,MNG001,300001,,15.81999969,3,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196891.7337,528840.3672
111,AE543,300015,4143010500,376121583B,MNG001,300001,,40.02999878,2.52999997,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196816.9273,528784.8162
112,AE543,300014,4143010500,376121583B,MNG001,300002,,55.22999954,2.3900001,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196739.1527,528710.5199
113,AE543,300007,4143010500,376121583B,MNG001,300001,,86.12000275,2.45000005,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196892.8996,528784.2965
114,AE543,300013,4143010500,376121583C,MNG001,300002,,73.30999756,2.53999996,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196670.4642,528674.4711
115,AE543,300004,4143010500,376121583C,MNG001,300002,,18.82999992,2.50999999,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196509.7911,528610.6553
116,AE543,2045,4143053000,376121583C,MNG001,2137,안양천연결자전거도로,121.3000031,3,0,0,0,DWY001,,1,2011-01-01,CGB001,DRT999,SMW006,196559.6307,528540.726
117,AE543,300016,4143010500,376121583B,MNG001,300001,,14.31000042,2.52999997,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196838.729,528761.5055
147,AE543,250001,4143011000,376122072B,MNG001,250001,,21.95000076,2.11999989,0,0,0,DWY003,RD20190003,1,2019-04-01,CGB001,DRT003,SMW006,196243.9624,523970.4254
148,AE543,2147,4143010300,376122062D,MNG001,766,덕성로자전거도로,438.480011,2,0,0,0,DWY001,,1,2010-04-01,CGB002,DRT001,SMW999,196263.0753,524112.4871
149,AE543,2146,4143011000,376122062D,MNG001,766,덕성로자전거도로,17.52000046,2,0,0,0,DWY001,,1,2010-04-01,CGB003,DRT003,SMW999,196255.1824,523981.2027
150,AE543,2145,4143011000,376122072B,MNG001,766,덕성로자전거도로,39.40000153,2,0,0,0,DWY001,,1,2010-04-01,CGB001,DRT001,SMW999,196265.8868,523962.8706
151,AE543,2118,4143011000,376122062D,MNG001,766,덕성로자전거도로,6.01000023,2,0,0,0,DWY001,,1,2010-04-01,CGB002,DRT001,SMW007,196264.9381,523985.5634
118,AE543,300001,4143010500,376121583C,MNG001,300002,,67.30000305,2.52999997,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196576.3354,528654.0834
119,AE543,300018,4143010500,376121583C,MNG001,300002,,53.47999954,2.51999998,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196604.763,528638.471
120,AE543,300011,4143010500,376121583B,MNG001,300002,,74.47000122,2.53999996,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196758.318,528752.3929
121,AE543,300009,4143010500,376121583B,MNG001,300002,,47.49000168,2.43000007,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196792.6079,528737.7068
122,AE543,300017,4143010500,376121583C,MNG001,300002,,10.22999954,2.49000001,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196614.7246,528676.5155
123,AE543,300012,4143010500,376121583B,MNG001,300002,,25.29000092,2.52999997,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196706.3896,528725.2389
124,AE543,300006,4143010500,376121583B,MNG001,300001,,63.75999832,2.5,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT001,SMW006,196870.0103,528814.3411
125,AE543,300002,4143010500,376121583C,MNG001,300002,,49.40000153,2.49000001,0,0,0,DWY001,,1,2015-01-01,CGB002,DRT002,SMW006,196554.399,528606.823
75,AE543,159410,4143010100,376121594C,MNG001,594005,,80.63999939,2.02999997,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197079.498,528036.2628
76,AE543,159409,4143010100,376121594D,MNG001,594004,,5.88999987,1.96000004,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197126.0952,528014.1215
77,AE543,159408,4143010100,376121594D,MNG001,594004,,22.55999947,1.94000006,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197142.9295,528000.3341
78,AE543,159407,4143010100,376121594D,MNG001,594004,,28.37999916,1.99000001,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197167.5044,527978.4187
79,AE543,159406,4143010100,376121594D,MNG001,594004,,8.30000019,1.97000003,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197187.9597,527959.9014
80,AE543,159405,4143010100,376121594D,MNG001,594004,,27,1.95000005,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197205.6149,527944.3392
81,AE543,159404,4143010100,376121594D,MNG001,594004,,34.38999939,1.99000001,0,0,0,DWY001,,1,2014-01-01,CGB002,DRT002,SMW006,197248.239,527918.2219
82,AE543,2117,4143010300,376122042D,MNG001,765,덕성로자전거도로,54.27000046,2,0,0,0,DWY001,,1,2010-04-01,CGB002,DRT001,SMW006,196282.7122,525093.0221
83,AE543,109,4143010300,376122052A,MNG001,765,,364.1300049,1.5,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,196229.884,524893.2517
84,AE543,72,4143010100,376121594C,MNG001,540,,68.88999939,1.79999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,196900.0094,528031.986
85,AE543,2116,4143051000,376122016A,MNG001,1000,오봉로자전거도로,138.1000061,3,0,0,0,DWY001,,1,2010-01-01,CGB003,DRT003,SMW006,197788.7546,527242.096
86,AE543,2159,4143010300,376122042D,MNG001,11388,덕성로자전거도로,35.40000153,2,0,0,0,DWY001,,1,2010-04-01,CGB002,DRT001,SMW006,196278.4152,525152.992
