행정읍면동,설치일자,자전거노선명,자전거도로구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류
향촌동,,,기타,고압블럭,25.45,2.5,0,0,0,경계석
향촌동,,,기타,고압블럭,15.08,1.5,0,0,0,경계석
향촌동,,,기타,고압블럭,16.18,1.4,0,0,0,경계석
향촌동,,,기타,고압블럭,152.74,1.4,0,0,0,경계석
향촌동,,,기타,고압블럭,73.22,1.4,0,0,0,경계석
향촌동,,,기타,고압블럭,91.2,1.4,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,69.6,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,1.8,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,20.62,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,17.98,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,22.5,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,2.81,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,29.25,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,17.3,1,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,45.38,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,15,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,49.97,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,15,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,67.47,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,5,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,4.88,2,0,0,0,경계석
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,6.69,1.9,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,1.05,2,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,2.1,2,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,1.2,2,0,0,0,고압블록
사남면,2005-12-31,,자전거보행자겸용도로,블록,2.7,2,0,0,0,고압블록
사남면,2005-12-31,,자전거보행자겸용도로,블록,5.07,2,0,0,0,고압블록
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,5.08,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,26.68,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,89.41,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,34.95,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,1.86,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,블록,25.69,1.5,0,0,0,고압블록
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,1.86,1.4,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,2.78,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,36.39,2,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,8.59,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,2.3,1.5,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,6.48,2,0,0,0,경계석
