노선번호(도로명),시점,종점,주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m)
대로1-4(서대구로),두류네거리,만평네거리,신평리네거리,8.2,35,1.3
대로3-5(와룡로),와룡네거리,이현삼거리,서대구공단네거리,4.4,5.5,1.5
광로2-1(달구벌대로),큰장로교차점(중구경계),감삼네거리,두류네거리,2.5,6,5
대로3-7(평리로),(구)대영학원,용산초교교차로,대구의료원,6.6,4,3
대로1-7(국채보상로),큰장네거리,새방지하도,서구청,9.87,5,4
대로2-2(북비산로),달성공원교차로(중구경계),서대구IC,북비산네거리,7.7,4.5,3.5
대로3-26(달서천로),원대로(북구경계),화물자동차공영차고지,서부소방서,9.96,4.5,3.5
대로2-3(옥산로),원대오거리,북구청네거리,,0.6,4,3
대로1-9(팔달로),원대오거리,팔달교,만평네거리,2.35,4,3
대로1-1(원대로),북구청네거리,원대지하차도,달성초등네거리,0.5,5,4
대로2-5(달서로),반고개네거리,원대오거리,북비산네거리,6,5,4
중로1-6(염색공단천로),공단역,염색산업단지관리공단,,2.8,4,3
중로1-3(당산로),감삼네거리,북비산로(서평초),중리네거리,5.2,3.5,2.5
중로1-5(비산염색공단로),서대구초교,욱일IDC근로자아파트(염색공단로 116),비산염색공단,2.8,3.5,2.5
