노선명,시도명,시군구명,도로구간-기점,도로구간-종점,총길이(km),자전거도로너비(m),데이터기준일자
금호강,대구광역시,달서구,대구광역시 달서구 대천동 796-18,대구광역시 동구 대림동 492-2,44.61,3,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 구지면 대암리 889,대구광역시 달성군 하빈면 동곡리 산 44,8.5,1.5,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 다사읍 매곡리 1185,대구광역시 달성군 다사읍 죽곡리 806,1.4,1.5,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 논공읍 삼리리 281-1,대구광역시 달성군 논공읍 하리 899,5.6,3,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 옥포읍 신당리 664-1,대구광역시 달성군 옥포읍 신당리 417-2,1.6,3,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 옥포읍 신당리 414,대구광역시 달성군 논공읍 삼리리 303-3,3.7,3,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 논공읍 하리 701-1,대구광역시 달성군 논공읍 남리 194,2,3,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 구지면 도동리 522-7,대구광역시 달성군 구지면 오설리 882-1,1.5,3,2025-11-27
낙동강,대구광역시,달성군,대구광역시 달성군 구지면 오설리 882-1,대구광역시 달성군 구지면 내리 434-2,5,3,2025-11-27
신천,대구광역시,북구,대구광역시 북구 침산동 663-8,대구광역시 수성구 파동 581-1,20.7,3,2025-11-27
태평로,대구광역시,중구,대구광역시 동구 신천동 1291-68,대구광역시 중구 달성동 175-4,5.94,4,2025-11-27
국채보상로,대구광역시,중구,대구광역시 동구 신천동 819-43,대구광역시 중구 대신동 182-12,6.42,4,2025-11-27
달구벌대로,대구광역시,중구,대구광역시 중구 대봉동 669-1,대구광역시 중구 남산동 3031,6.68,6,2025-11-27
명륜로,대구광역시,중구,대구광역시 중구 대봉동 724-21,대구광역시 중구 남산동 333-7,3,3,2025-11-27
명덕로,대구광역시,중구,대구광역시 수성구 수성동1가 249-231,대구광역시 남구 대명동 2274-7,3.1,4,2025-11-27
동덕로,대구광역시,중구,대구광역시 중구 동인동1가 360-2,대구광역시 중구 대봉동 185-25,4,4,2025-11-27
이천로,대구광역시,중구,대구광역시 중구 대봉동 715-23,대구광역시 중구 대봉동 152-86,1.72,4,2025-11-27
공평로,대구광역시,중구,대구광역시 중구 대봉동 715-23,대구광역시 중구 동인동1가 59-3,2.24,4,2025-11-27
중앙대로,대구광역시,중구,대구광역시 중구 남산동 2321,대구광역시 중구 태평로2가 2-2,4.18,4,2025-11-27
서성로,대구광역시,중구,대구광역시 중구 남산동 333-7,대구광역시 중구 태평로3가 221-5,2.4,4,2025-11-27
달성로,대구광역시,중구,대구광역시 중구 남산동 2121-3,대구광역시 중구 수창동 104-7,4.66,4,2025-11-27
큰장로,대구광역시,중구,대구광역시 중구 대신동 1455,대구광역시 중구 대신동 115-9,1.31,3,2025-11-27
신암로1R,대구광역시,중구,대구광역시 중구 동인동1가 361-6,대구광역시 중구 동인동1가 397-26,0.2,3,2025-11-27
신암로,대구광역시,동구,대구광역시 동구 신암동 1388,대구광역시 동구신암동 484-3,0.8,3,2025-11-27
송라로,대구광역시,동구,대구광역시 동구 신천동 847-9,대구광역시 동구신암동 484-3,3.4,2.8,2025-11-27
