연번,노선명,기점,종점,자전거도로 종류,총연장,자전거도로 폭원,설치방향,분리시설설치여부,분리시설종류,포장재질,포장색상,안전표지판 개수,노면표시 개수,횡단도 개수,경사로 위치 ,경사로 개수,보도턱낮춤 여부,설치연도,관리부서,데이터기준일자
1,동작대로_옹변구간,동작동 97-1,동작동 산 18-4 ,자전거우선도로,0.3,3,일방,없음,,아스콘,회색,4,5,,,,Y,2016,교통행정과,2026-05-28
2,노량진로,대방동341-3(빕스),대방동502(현대아파트),자전거보행자겸용도로(분리형),0.6,1,양방,없음,,아스콘,암적색,6,12,,,,Y,2015,교통행정과,2026-05-28
3,동작대로,이수교차로,사당역,자전거보행자겸용도로(비분리형),2.5,2,양방,없음,,보도블럭,회색,46,0,,,,Y,2002,교통행정과,2026-05-28
4,상도로,상도역,숭실대역입구,자전거보행자겸용도로(비분리형),0.9,5,양방,없음,,보도블럭,회색,9,18,,,,Y,2015,교통행정과,2026-05-28
5,사당로,이수역,남성초교,자전거보행자겸용도로(비분리형),0.5,2,양방,없음,,보도블럭,회색,8,0,,,,Y,2000,교통행정과,2026-05-28
6,도림천제방길,문창초등학교,보라매공원 남문,자전거보행자겸용도로(비분리형),0.3,3,양방,없음,,보도블럭,암적색,4,3,,,,Y,1999,교통행정과,2026-05-28
7,시흥대로,구로교,보라매공원 정문,자전거보행자겸용도로(비분리형),1.8,3,양방,없음,,보도블럭,암적색,28,4,2,,,Y,1999,교통행정과,2026-05-28
8,노량진로,노량진수산시장 지하보도,대방역,자전거보행자겸용도로(비분리형),1.2,4,양방,없음,,보도블럭,암적색,7,8,,,,Y,2015,교통행정과,2026-05-28
9,노량진로,한강대교 남단,수산시장입구 삼거리,자전거보행자겸용도로(비분리형),0.9,3,양방,없음,,보도블럭,회색,9,18,,,,Y,2015,교통행정과,2026-05-28
10,여의대방로,대방동501(대림아파트),대방동341-3(빕스),자전거보행자겸용도로(비분리형),0.3,2,양방,없음,,보도블럭,암적색,8,6,,,,Y,2015,교통행정과,2026-05-28
11,남부순환로,사당역,동작구노인건강증진센터,자전거보행자겸용도로(비분리형),0.6,2,양방,없음,,보도블럭,회색,6,5,,,,Y,2007,교통행정과,2026-05-28
12,장승배기로,노량진초등학교,장승배기역,자전거보행자겸용도로(비분리형),0.9,1.5,양방,없음,,보도블럭,암적색,9,9,,,,Y,2008,교통행정과,2026-05-28
13,흑석한강로,센트레빌상가,흑석한강로27(푸르지오아파트),자전거보행자겸용도로(비분리형),0.5,1.5,양방,없음,,보도블럭,회색,3,0,2,,,Y,2013,교통행정과,2026-05-28
14,상도로53길,상도1동주민센터,흑석로84(상도패리스아파트),자전거보행자겸용도로(비분리형),0.9,1.5,양방,없음,,보도블럭,암적색,4,0,,,,Y,2013,교통행정과,2026-05-28
15,현충로,흑석동10명수대현대아파트,흑석동7-1 흑석초정문,자전거보행자겸용도로(비분리형),0.3,2,양방,없음,,보도블럭,회색,5,6,,,,Y,2015,교통행정과,2026-05-28
16,사당로23길,래미안이수역로이파크 정문,래미안이수역로이파크 104동,자전거보행자겸용도로(비분리형),0.9,2,양방,없음,,보도블럭,암적색,9,0,1,,,Y,2018,교통행정과,2026-05-28
17,도림천(우안),서울시립남부장애인복지관,구로디지털단지역,자전거보행자겸용도로(분리형),1.5,2,양방,있음,콘크리트,아스콘,암적색,20,2,4,보라매공원남문입구,2,Y,2017,교통행정과,2026-05-28
