노선명,기점,종점,종류,연장,너비,관리주체
북아현로19길(서측),북아현동 187-18,북아현동 199-3,자전거전용도로(보도높이형),0.320 ,2.0 ,서대문구 도로과
북아현로19길(동측),북아현동 251-285,북아현동 187-18,자전거전용도로(보도높이형),0.350 ,2.0 ,서대문구 도로과
거북골로(동측),중앙근린공원,북가좌초 사거리,자전거전용차로,0.500 ,2.0 ,서대문구 도로과
거북골로(서측),북가좌초 사거리,중앙근린공원,자전거전용차로,0.500 ,2.0 ,서대문구 도로과
가재울미래로(서측),DMC파크뷰101동,DMC파크뷰105동,자전거전용차로,0.400 ,2.0 ,서대문구 도로과
가재울미래로(동측),DMC파크뷰105동,DMC파크뷰101동,자전거전용차로,0.400 ,2.0 ,서대문구 도로과
충정로(서측),충정로사거리,서대문역 교차로,자전거우선도로,0.800 ,차로공유,서부도로사업소
충정로(동측),서대문역 교차로,충정로사거리,자전거우선도로,0.800 ,차로공유,서부도로사업소
신촌로(남측),동교동삼거리,충정로사거리,자전거우선도로,3.300 ,차로공유,서부도로사업소
신촌로(북측),충정로사거리,동교동삼거리,자전거우선도로,3.300 ,차로공유,서부도로사업소
연희로(동측),연희교차로,서대문소방서 앞,자전거우선도로,1.300 ,차로공유,서부도로사업소
연희로(서측),서대문소방서 앞,연희교차로,자전거우선도로,1.300 ,차로공유,서부도로사업소
성산로(남측),연희 IC교,봉원고가차도 하부,자전거우선도로,2.200 ,차로공유,서부도로사업소
성산로(북측),봉원고가차도 하부,연희 IC교,자전거우선도로,2.200 ,차로공유,서부도로사업소
신촌역로(서측),명물거리교차로,신촌기차역입구 교차로,자전거우선도로,0.400 ,차로공유,서부도로사업소
신촌역로(동측),신촌기차역입구 교차로,명물거리교차로,자전거우선도로,0.400 ,차로공유,서부도로사업소
연세로(서측),연세대교차로,신촌역 교차로,자전거우선도로,0.600 ,차로공유,서대문구 도로과
연세로(동측),신촌역 교차로,연세대교차로,자전거우선도로,0.600 ,차로공유,서대문구 도로과
명물길(동측),형제갈비앞,명물거리삼거리,자전거우선도로,0.400 ,차로공유,서대문구 도로과
명물길(서측),명물거리삼거리,형제갈비앞,자전거우선도로,0.400 ,차로공유,서대문구 도로과
연세로5길(동측),현대백화점 앞,함흥냉면앞,자전거우선도로,0.200 ,차로공유,서대문구 도로과
연세로5길(서측),함흥냉면앞,현대백화점 앞,자전거우선도로,0.200 ,차로공유,서대문구 도로과
신촌로11길,신촌동제1공영주차장앞,신촌미용아트스쿨,자전거우선도로,0.200 ,차로공유,서대문구 도로과
성산로22길,창천오피스텔앞,신촌동제1공영주차장앞,자전거우선도로,0.200 ,차로공유,서대문구 도로과
