노선명,자전거 도로의 종류,도로구간기점,도로구간종점,주요경유지,총연장(km)
중앙로1R,겸용도로,장천동83-9(대),장천동88-1(대),장천동주민센터,0.17
중앙로2R,겸용도로,장천동59-7(대),매곡동118-11(대),전라남도순천의료원,1.1
중앙로3R,겸용도로,매곡동 118-11(대),매곡동423-5(대),순천북초등학교,0.73
중앙로4R,겸용도로,가곡동1002-14(대),가곡동378-1(도),순천경찰서,0.68
중앙로5R,겸용도로,가곡동378-1(도),가곡동5-5(대),한국환경공단,1.9
중앙로1L,겸용도로,저전동230-5(대),저전동225-1(대),궁전웨딩홀,0.49
중앙로2L,겸용도로,저전동225-1(대),중앙동52-5(대),행동우체국,0.85
중앙로3L,겸용도로,중앙동52-5(대),매곡동41-2(도),매곡동성당,0.97
중앙로4L,겸용도로,매곡동41-2(도),매곡동425-1(학),순천북초등학교,0.2
중앙로5L,겸용도로,가곡동425(대),가곡동976-3㈜,순천경찰서,1.46
중앙로6L,겸용도로,가곡동976-3㈜,가곡동산3-7,순천제일고등학교,1.05
우석로 R,겸용도로,덕월동363-5(전),남정동530-20(대),순천국토관리사무소,1.5
우석로 1L,겸용도로,덕월동379-1(대),인제동170-2(대),순천제일대학교,1.75
우석로 2L,겸용도로,인제동170-2(대),인제동55-70(대),순천고등학교,0.25
삼산로 1R,겸용도로,석현동131-1(대),석현동151-2(답),순천시문화예술회관,0.41
삼산로 2R,겸용도로,용당동294-4(전),서면 309(답),순천일반산단,1.68
삼산로 1L,겸용도로,석현동213-8(대),석현동151(대),삼산동주민센터,0.41
삼산로 2L,겸용도로,석현동151(대),용당동570(대),용당교,0.36
삼산로 3L,겸용도로,용당동570(대),용당동566-7(답),용당동아아파트,0.27
삼산로 4L,겸용도로,용당동219(대),서면 선평리316(대),순천소방서,1.68
이수로 1R,겸용도로,장천동16-1(대),장천동366(대),강변자동차매매단지,0.11
이수로 2R,겸용도로,조곡동128-1(대),덕암동1-6(대),이수중학교,0.69
이수로 3R,겸용도로,조례동1315-1(답),조례동1245(잡),순천고용복지센터,1.2
이수로 4R,겸용도로,조례동1245(잡),연향동1324-2(대),농협(순천지부),0.28
이수로 5R,겸용도로,연향동1325-2(차),연향동1327(대),조은프라자,0.21
이수로 1L,겸용도로,장천동347(대),장천동 364(도),현대블루핸즈,0.11
이수로 2L,겸용도로,조곡동241-16(대),조곡동243-19(대),장대공원,0.67
이수로 3L,겸용도로,조곡동118-8(대),생목동 24(학),순천이수중학교,0.47
이수로 4L,겸용도로,생목동57(대),조례동1194-6(대),명지아파트,0.79
이수로 5L,겸용도로,조례동1194-6(대),조례동1722-9(대),동신대순천한방병원,0.45
연자로 L,겸용도로,동외동128(대),동외동47-1(대),기아오토큐 동외점,0.29
봉화로 R,겸용도로,조례동산155-1(임),조례동 1413-4(전),조례석호아파트,0.63
봉화로 L,겸용도로,조례동산155-1(임),조례동1414-6(전),조례석호아파트,0.63
강남로 L,겸용도로,동외동68-12(대),동외동82-1(대),순천성동초등학교,0.29
장평로 R,겸용도로,풍덕동1291-3(대),풍덕동1264(잡),순천 아랫장,0.73
장평로 L,겸용도로,남정동559-2(대),인제동 371(대),순천 아랫장,0.73
풍덕주택길 R,겸용도로,조곡동160-3(대),풍덕동875-13(대),역전시장,0.58
풍덕주택길 L,겸용도로,조곡동159-1(대),풍덕동876-42(대),역전시장,0.58
역전길 R,겸용도로,조곡동139-1(철),조곡동131-5(대),한국철도공사전남본부,0.57
역전길 L,겸용도로,조곡동156-9(대),조곡동204-5(대),한국철도공사전남본부,0.57
팔마로 1R,겸용도로,장천동22-1(대),장천동22-17(대),,0.15
팔마로 2R,겸용도로,장천동71-5(답),조곡동158-1(대),풍덕교,0.89
팔마로 3R,겸용도로,풍덕동300(대),풍덕동853-1(대),이마트,0.27
팔마로 4R,겸용도로,풍덕동304-1(답),연향동1692-7(대),순천팔마체육관,1.13
팔마로 1L,겸용도로,장천동84-7(대),조곡동156-10(대),아랫장,1.23
팔마로 2L,겸용도로,조곡동139-21(철),덕암동169(대),이마트,0.76
팔마로 3L,겸용도로,덕암동146-27(대),덕암동155㈜,순천하나병원,0.27
팔마로 4L,겸용도로,연향동1047(대),연향동787(답),순천팔마체육관,1.13
남산로 1R,겸용도로,남정동538-16㈜,남정동83-1(답),,0.27
남산로 2R,겸용도로,남정동569(공),풍덕동1753-1(종),순천원예농협,0.54
남산로 3R,겸용도로,풍덕동1753-1(종),풍덕동878-1(대),팔마대교,0.19
남산로 4R,겸용도로,풍덕동878-1(대),풍덕동853-1(대),삼산아파트,0.87
남산로 1L,겸용도로,남정동537-25,풍덕동 1293-4,순천남산중학교,0.79
