일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도,도로연계성,자전거도로 종류,연장,전용도로 폭원,자전거도로 폭원(분리형),보도 폭원(분리형),유효폭원측정1(비분리형),도로폭원(비분리형),유효폭원측정2(비분리형),보행량 (점),데이터기준일자
1,가련산로L,덕진동695-6(가련교),127.1101128,35.8402758,덕진동2가 245-34,127.1140487,35.8442958,덕진동2가142-28(가련광장),127.1173769,35.8468882,Y,겸용도로,1.1,0,1.3,2.6,3.9,0,0,3,2026-05-14
2,가련산로R,덕진동695-6(가련교),127.1101128,35.8402758,덕진동2가 245-8,127.1142207,35.8443975,덕진동2가142-27(가련광장),127.1167576,35.84698,Y,겸용도로,1.1,0,2,2,4,0,0,3,2026-05-14
3,가리내로L,덕진동2가693-5(가련교),127.1094395,35.8406236,덕진동2가 646-34,127.1063071,35.8431751,덕진동2가683(하가더루벤스아파트),127.1081682,35.8455954,Y,겸용도로,1.05,0,0,0,0,1.3,1.3,2,2026-05-14
4,가리내로R,덕진동2가693-5(가련교),127.1094395,35.8406236,덕진동2가 646-34,127.1063071,35.8431751,덕진동2가683(하가더루벤스아파트),127.1081682,35.8455954,Y,겸용도로,1.05,0,0,0,0,1.5,1.5,2,2026-05-14
5,건산로L,인후동2가261-8(고려정형외과),127.1451879,35.8323891,인후3동 448-42,127.1576435,35.8337284,산정동875-6,127.1711982,35.8372114,Y,겸용도로,2.5,0,0,0,0,2,2,3,2026-05-14
6,건산로R,인후동2가261-8(고려정형외과),127.1451879,35.8323891,인후3동 448-42,127.1576435,35.8337284,산정동875-6,127.1711982,35.8372114,Y,겸용도로,2.5,0,0,0,0,2.1,2.1,3,2026-05-14
7,건지산로1L,덕진동1가산18-10,127.1330058,35.851476,덕진동1가 산31,127.1341239,35.8529871, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281,Y,겸용도로,0.35,0,0,0,0,2,2,3,2026-05-14
8,건지산로1R,덕진동1가산18-10,127.1330058,35.851476,덕진동1가 산31,127.1341239,35.8529871, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281,Y,겸용도로,0.35,0,0,0,0,2.1,2.1,3,2026-05-14
9,건지산로2L, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281,덕진동1가 88-18,127.136879,35.8553248,덕진동1가산1-1(한국소리문화의전당),127.1393057,35.8547006,Y,겸용도로,0.4,0,1.4,1.5,2.9,0,0,3,2026-05-14
10,건지산로2R, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281,덕진동1가 88-18,127.136879,35.8553248,덕진동1가산1-1(한국소리문화의전당),127.1393057,35.8547006,Y,겸용도로,0.4,0,1.4,1.5,2.9,0,0,3,2026-05-14
11,견훤로1L,남노송동131-36,127.1614462,35.8181425,중노송동 13-27,127.1614407,35.8213522,중노송동 785(아중로 교차점),127.1614188,35.8246273,Y,겸용도로,0.7,0,3,2,5,0,0,3,2026-05-14
12,견훤로1R,남노송동131-36,127.1614462,35.8181425,중노송동 13-27,127.1614407,35.8213522,중노송동 785(아중로 교차점),127.1614188,35.8246273,Y,겸용도로,0.7,0,3,2.11,5.11,0,0,3,2026-05-14
13,견훤로2L,중노송동 785(아중로 교차점),127.1614188,35.8246273,견훤로 350,127.1546186,35.8425654,우아동3가743-158(효성네거리),127.1564419,35.8564777,Y,겸용도로,3.6,0,2.6,2.1,4.7,0,0,3,2026-05-14
14,견훤로2R,중노송동 785(아중로 교차점),127.1614188,35.8246273,견훤로 350,127.1546186,35.8425654,우아동3가743-158(효성네거리),127.1564419,35.8564777,Y,겸용도로,3.6,0,0,0,0,2.8,2.8,3,2026-05-14
15,견훤왕궁로1L,중노송동774-12,127.1527303,35.821176,중노송동 산61-13,127.1540181,35.8291555,인후동1가 661-12,127.1488051,35.8350063,Y,겸용도로,1.83,0,0,0,0,2.8,2.8,3,2026-05-14
16,견훤왕궁로1R,중노송동774-12,127.1527303,35.821176,중노송동 산61-13,127.1540181,35.8291555,인후동1가 661-12,127.1488051,35.8350063,Y,겸용도로,1.83,0,0,0,0,2.6,2.6,3,2026-05-14
17,견훤왕궁로2L,인후동2가 26-8(인후2동주민센터),127.1462384,35.8398819,견훤왕궁로 268-1,127.1450355,35.8420258,인후동2가1529-1,127.1442998,35.8437733,Y,겸용도로,0.42,0,0,0,0,2.5,2.5,3,2026-05-14
18,견훤왕궁로2R,인후동2가 26-8(인후2동주민센터),127.1462384,35.8398819,견훤왕궁로 268-1,127.1450355,35.8420258,인후동2가1529-1,127.1442998,35.8437733,Y,겸용도로,0.42,0,0,0,0,2.8,2.8,3,2026-05-14
19,과학로R,송천동2가310-1(송천육교),127.1247632,35.8701332,전미동1가 56-18,127.1289979,35.888166,전미동1가208-2(화포대교),127.1246936,35.8996989,Y,전용도로,3.3,2.7,0,0,0,0,0,,2026-05-14
20,기린대로1L,교동1-2(한벽루),127.1602887,35.8118543,덕진동1가 1401-1 태양전기,127.1224081,35.844459,팔복소방파출소,127.0933316,35.8596312,Y,겸용도로,8.25,0,2.5,2.5,5,0,0,4,2026-05-14
21,기린대로1R,교동1-1(한벽루),127.1603539,35.8119474,덕진동1가 1401-1 태양전기,127.1224081,35.844459,팔복소방파출소,127.0933316,35.8596312,Y,겸용도로,8.25,0,2.5,2.5,5,0,0,4,2026-05-14
22,기린대로2L,팔복소방파출소,127.0933316,35.8596312,동산동 502-13,127.084314,35.863858,호남제일문광장,127.0706028,35.8696198,Y,전용도로,2.2,3.2,0,0,0,0,0,,2026-05-14
23,기린대로2R,팔복소방파출소,127.0933316,35.8596312,동산동 502-13,127.084314,35.863858,호남제일문광장,127.0706028,35.8696198,Y,전용도로,2.2,3.2,0,0,0,0,0,,2026-05-14
24,기린대로3L,호남제일문광장,127.0706028,35.8696198,반월동 873-16,127.0671351,35.8713647,반월동726-2(월드컵경기장),127.0628965,35.8735589,Y,겸용도로,1.05,0,0,0,0,2.4,2.4,2,2026-05-14
25,기린대로3R,호남제일문광장,127.0706028,35.8696198,반월동 873-16,127.0671351,35.8713647,반월동726-1(월드컵경기장),127.0628579,35.8738246,Y,겸용도로,1.05,0,0,0,0,2.5,2.5,2,2026-05-14
26,기지로L,완산구 중동 774-4(전북은행 혁신도시지점 앞),127.058631,35.838408,만성동 1207,127.068395,35.838852,만성동1179-1(SK셀프주유소 옆 삼거리),127.076138,35.836072,Y,겸용도로,1.63,0,2,2.5,4.5,0,0,,2026-05-14
27,기지로R,완산구 중동 774-4(전북은행 혁신도시지점 앞),127.058631,35.838408,만성동 1207,127.068395,35.838852,만성동1179-1(SK셀프주유소 옆 삼거리),127.076138,35.836072,Y,겸용도로,1.63,0,2,2.5,4.5,0,0,,2026-05-14
28,노송광장로L,서노송동568-1(전주시청),127.1477799,35.8243499,서노송동 598-11,127.1475495,35.8232545,서노송동619-11(전주시의회입구),127.146807,35.8242471,Y,겸용도로,0.3,0,0,0,0,3.7,3.7,4,2026-05-14
29,노송광장로R,서노송동568-1(전주시청),127.1477799,35.8243499,서노송동 598-11,127.1475495,35.8232545,서노송동619-11(전주시의회입구),127.146807,35.8242471,Y,겸용도로,0.3,0,0,0,0,1.5,1.5,4,2026-05-14
30,농생명로L,중동 830(육교 앞),127.058602,35.832944,중동 824,127.064464,35.833292,만성동 860,127.071936,35.831987,Y,겸용도로,1.23,0,0,0,0,2,2,,2026-05-14
31,당산로L,서신동762(전주서중),127.1098268,35.8315291,서신동 794,127.1169403,35.8318558,서신동768,127.1218976,35.8325341,Y,겸용도로,1.25,0,0,0,0,3.2,3.2,3,2026-05-14
32,당산로R,서신동762(전주서중),127.1098268,35.8315291,서신동 794,127.1169403,35.8318558,서신동768,127.1218976,35.8325341,Y,겸용도로,1.25,0,0,0,0,3.2,3.2,3,2026-05-14
33,대동로L,태평동102-37(유창ENG),127.1364014,35.8211215,고사동 263-2 대한소방,127.1417277,35.8218996,서노송동636-1(대신증권),127.144608,35.8232439,Y,겸용도로,0.85,0,0,0,0,3.5,3.5,4,2026-05-14
34,대동로R,태평동102-37(유창ENG),127.1364014,35.8211215,고사동 263-2 대한소방,127.1417277,35.8218996,서노송동636-1(대신증권),127.144608,35.8232439,Y,겸용도로,0.85,0,0,0,0,3.8,3.8,4,2026-05-14
35,동부대로1L,우아동1가942-1(아중역),127.1763285,35.8297546,산정동 679-2,127.1703623,35.8389951,전주시 덕진구 우아동3가 285-8(럭키아파트),127.1638854,35.844083,Y,겸용도로,1.92,0,0,0,0,3.7,3.7,3,2026-05-14
36,동부대로1R,우아동1가942-1(아중역),127.1763285,35.8297546,우아1동 270-30,127.1636837,35.8455391,호성동 1가 747(호성동신아파트),127.1476941,35.8673908,Y,겸용도로,3.76,0,0,0,0,4,4,3,2026-05-14
37,동부대로2L,전주시 덕진구 우아동3가 285-8(럭키아파트),127.1638854,35.844083,우아동3가 591-1 호성자원,127.1575278,35.8558915,호성동2가 631-12(전주시차량등록사업소),127.1476941,35.8673908,Y,겸용도로,3.1,0,1.9,2.2,4.1,0,0,3,2026-05-14
38,동부대로2R,호성동 1가 747(호성동신아파트),127.154657,35.85898,우아동3가 591-1 호성자원,127.1575278,35.8558915,호성동2가 631-12(전주시차량등록사업소),127.1476941,35.8673908,Y,겸용도로,1.26,0,2.4,2.2,4.6,0,0,3,2026-05-14
39,동부대로3L,송천동2가 54-63(대송장례식장),127.1362621,35.8687758,송천동2가 325-1,127.1234862,35.8699216,송천동2가492-36(농수산물도매시장),127.117825,35.8687922,Y,겸용도로,2,0,2,2.2,4.2,0,0,3,2026-05-14
40,동부대로3R,송천동2가 54-63(대송장례식장),127.1362621,35.8687758,송천동2가 325-1,127.1234862,35.8699216,송천동2가492-36(농수산물도매시장),127.117825,35.8687922,Y,겸용도로,2,0,2.2,2,4.2,0,0,3,2026-05-14
41,두간로L,송천동1가832-1,127.114702,35.865245,송천동1가 853,127.1180003,35.8653105,송천동1가812-1,127.1212277,35.865117,Y,겸용도로,0.6,0,0,0,0,1.4,1.4,3,2026-05-14
42,두간로R,송천동1가832-1,127.114702,35.865245,송천동1가 853,127.1180003,35.8653105,송천동1가812-1,127.1212277,35.865117,Y,겸용도로,0.6,0,0,0,0,1.6,1.6,3,2026-05-14
43,들사평서로L,덕진동1가1437-1,127.1217022,35.8372236,덕진동1가 1435-22,127.1203638,35.8382579,덕진동1가1547-80,127.1191425,35.838868,Y,겸용도로,0.35,0,0,0,0,1.6,1.6,3,2026-05-14
44,들사평서로R,덕진동1가1437-1,127.1217022,35.8372236,덕진동1가 1435-22,127.1203638,35.8382579,덕진동1가1547-80,127.1191425,35.838868,Y,겸용도로,0.35,0,0,0,0,1.4,1.4,3,2026-05-14
45,마전들로L,효자동3가1670-42,127.0957441,35.8208827,효자동3가 461-3,127.0979911,35.8269021,효자동3가1(전북도청),127.1091125,35.8200561,Y,겸용도로,1.5,0,0,0,0,1.5,1.5,3,2026-05-14
46,마전들로R,효자동3가1670-42,127.0957441,35.8208827,효자동3가 461-3,127.0979911,35.8269021,효자동3가1(전북도청),127.1091125,35.8200561,Y,겸용도로,1.5,0,0,0,0,1.5,1.5,3,2026-05-14
47,만성로L,국민연금공단 앞 사거리,127.07321,35.837867,만성동 962-3,127.071391,35.834983,만성동 1178-6번지 앞 삼거리,127.070193,35.832297,Y,겸용도로,2.25,0,1.5,2,3.5,0,0,3,2026-05-14
48,만성로R,국민연금공단 앞 사거리,127.07321,35.837867,만성동 962-3,127.071391,35.834983,만성동 1178-6번지 앞 삼거리,127.070193,35.832297,Y,겸용도로,2.25,0,1.5,2,3.5,0,0,3,2026-05-14
49,모악로L,평화동2가363-2(웨딩코리아사거리),127.1286149,35.7852016,평화동2가 286-4,127.1313509,35.7902668,평화동1가731-1(꽃밭정이네거리),127.1328191,35.7950002,Y,겸용도로,1.5,0,4.8,4.2,9,2,2,4,2026-05-14
50,모악로R,평화동2가363-2(웨딩코리아사거리),127.1286149,35.7852016,평화동2가 286-4,127.1313509,35.7902668,평화동1가731-1(꽃밭정이네거리),127.1328191,35.7950002,Y,겸용도로,1.2,0,2.5,2.5,5,0,0,4,2026-05-14
51,무삼지로L,인후동1가916-6,127.1658603,35.8262817,인후3동 877-2,127.1634948,35.8302644,인후동1가845-1,127.1627394,35.8340615,Y,겸용도로,0.95,0,0,0,0,2,2,3,2026-05-14
52,무삼지로R,인후동1가916-6,127.1658603,35.8262817,인후3동 877-2,127.1634948,35.8302644,인후동1가845-1,127.1627394,35.8340615,Y,겸용도로,0.95,0,0,0,0,2,2,3,2026-05-14
53,문화광장로L,서노송동614-11(시청입구사거리),127.1456863,35.8225041,서노송동 614-14,127.1463163,35.8230529,서노송동616-8,127.1470141,35.8231389,Y,겸용도로,0.15,0,0,0,0,3.1,3.1,3,2026-05-14
