노선명,구간기점,구간종점,총연장(km),자전거도로폭(m),겸용도로폭(m)-분리형(자전거),겸용도로폭(m)-분리형(보도),겸용도로폭(m)-비분리형,자전거도로종류,데이터기준일자
가령로L,이도이동 382-14,이도이동1234,0.75,1.4,,,1.4,자전거보행자 겸용도로,2026-03-12
가령로R,이도이동 382-14,이도이동1234,0.75,1.4,,,1.3,자전거보행자 겸용도로,2026-03-12
간월동로L,아라이동2423,영평동2676-1,1,2,,,3,자전거보행자 겸용도로,2026-03-12
간월동로R,아라이동2423,영평동2676-1,1,2,,,3,자전거보행자 겸용도로,2026-03-12
선사로R,삼양이동 2140-12,삼양이동 2114-1,0.4,1.5,,,,자전거보행자 겸용도로,2026-03-12
선사로L,삼양이동 2140-12,삼양이동 2114-1,0.4,1.5,,,,자전거보행자 겸용도로,2026-03-12
고마로L,일도이동367,일도이동 68-6,0.73,2,,,3.5,자전거보행자 겸용도로,2026-03-12
고마로R,일도이동367,일도이동 68-6,0.73,2,,,3.5,자전거보행자 겸용도로,2026-03-12
고산로R,고산리2822-17,고산리2605,0.9,1.5,,,2,자전거보행자 겸용도로,2026-03-12
고산로L,고산리2822-17,고산리2605,0.9,1.5,,,2,자전거보행자 겸용도로,2026-03-12
서광로2길L,오라일동2440,오라일동2445,0.5,1.8,,,,자전거보행자 겸용도로,2026-03-12
서광로2길R,오라일동2440,오라일동2445,0.5,1.8,,,,자전거보행자 겸용도로,2026-03-12
공항로R,용담이동1746,용담이동1462-1,0.9,3,,,,자전거보행자 겸용도로,2026-03-12
공항로L,용담이동1746,용담이동1462-1,0.9,3,,,,자전거보행자 겸용도로,2026-03-12
과원로L,연동1494-4,노형동2319-1,2.5,1.6,,,,자전거보행자 겸용도로,2026-03-12
과원로R,연동1494-4,노형동2319-1,2.5,1.6,,,,자전거보행자 겸용도로,2026-03-12
과원북2길L,연동1516,노형동731-3,0.7,1.5,,,3,자전거보행자 겸용도로,2026-03-12
과원북2길R,연동1516,노형동731-3,0.7,1.5,,,3,자전거보행자 겸용도로,2026-03-12
관덕로R,삼도이동887-1,일도일동1478-4,0.9,2,,,3,자전거보행자 겸용도로,2026-03-12
관덕로L,삼도이동887-1,일도일동1478-4,0.9,2,,,3,자전거보행자 겸용도로,2026-03-12
광평동로R,노형동2891,노형동2346,0.7,2,,,,자전거보행자 겸용도로,2026-03-12
광평동로L,노형동2891,노형동2346,0.7,2,,,2.5,자전거보행자 겸용도로,2026-03-12
