구분,노선명,연장,폭,시점,종점,주요경유지,관리기관전화번호,관리기관명,데이터기준일자
겸용도로분리,우금티로1R,1.17,1.5~4.3,옥룡교차로,공주터널입구,공주대학교 옥룡캠퍼스,041-840-8507,공주시청,2024-08-27
겸용도로분리,우금티로3R,1.86,1.6~2.0,공주터널종점,우금티사거리,금학회전교차로,041-840-8507,공주시청,2024-08-27
겸용도로분리,우금티로1L,2.01,1.8~2.4,우금티터널입구,공주터널종점,금학회전교차로,041-840-8507,공주시청,2024-08-27
겸용도로비분리,우금티로2L,0.47,1.2,공주터널종점(금학동),공주터널입구(옥룡동),공주터널,041-840-8507,공주시청,2024-08-27
겸용도로비분리,우금티로3L,1.19,1.8~5.5,공주터널입구,옥룡교차로,　한국전력공사 공주지사,041-840-8507,공주시청,2024-08-27
자전거 전용도로,무령로1R,0.8,2.2~2.3,백제큰길교차점,경찰서앞교차로,공주소방서 건너편,041-840-8507,공주시청,2024-08-27
겸용도로비분리,무령로2R,3.43,1.9~3.1,경찰서앞교차로,강북교차로,중동교차로,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로3R,0.94,2.6~2.7,강북교차로,공주대 정문 건너편,　,041-840-8507,공주시청,2024-08-27
겸용도로비분리,무령로2L,0.09,2.6,강북교차로,공주대교 북단,　,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로1L,0.94,2.7~5.5,공주대 정문,강북교차로,　,041-840-8507,공주시청,2024-08-27
겸용도로비분리,무령로3L,3.34,1.5~3.0,공주대교 북단,경찰서앞교차로,중동교차로,041-840-8507,공주시청,2024-08-27
자전거 전용도로,무령로4L,0.8,2.1~2.3,경찰서앞교차로,백제큰길교차점,공주의료원 공주소방서,041-840-8507,공주시청,2024-08-27
자전거 전용도로,고마나루길(2)1R,0.02,2.2,웅진동 582-1 교차로,웅진동 582-1 횡단보도,,041-840-8507,공주시청,2024-08-27
자전거 전용도로,고마나루길(2)1L,0.22,2,백제체육관,웅진동 583-1,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,관광단지길1R,0.35,1.3~1.7,한옥마을,국립공주박물관,　공주한옥마을 입구,041-840-8507,공주시청,2024-08-27
겸용도로비분리,관광단지길1L,0.32,1.3~1.4,국립공주박물관,고마,　고마 입구,041-840-8507,공주시청,2024-08-27
겸용도로분리,웅진로2R,0.4,3.8,연문교차로,시내버스정류장 앞 삼거리,공주산성정류소,041-840-8507,공주시청,2024-08-27
겸용도로비분리,웅진로3R,2.3,2.0~4.5,시내버스정류장 앞 삼거리,금학회전교차로,중동교차로,041-840-8507,공주시청,2024-08-27
겸용도로비분리,웅진로1L,2.11,2.6~3.3,금학회전교차로,시내버스터미널 건너편,중동교차로,041-840-8507,공주시청,2024-08-27
겸용도로비분리,창벽로1R,1.2,1.3,강남교차로,소학회전교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,창벽로1L,1.2,1.3,소학회전교차로,강남교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,번영1로1R,1.73,2.8~4.0,중앙로삼거리,대아아파트 앞 교차로,신관초교차로,041-840-8507,공주시청,2024-08-27
겸용도로비분리,번영1로2R,0.29,2.5,대아아파트 앞 교차로,신월초교차로,대아아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,번영1로1L,2.02,2.2~4.1,신월초교차로,중앙로삼거리,신관초교차로,041-840-8507,공주시청,2024-08-27
겸용도로분리,금벽로1R,0.96,2.6~4.5,강북교차로,정안천교 동단,전막교차로,041-840-8507,공주시청,2024-08-27
겸용도로비분리,금벽로1L,0.96,1.3~2.4,전막교차로,강북교차로,금강신관공원,041-840-8507,공주시청,2024-08-27
겸용도로분리,전막1길R,0.2,2.0~3.8,전막교차로,코아루 앞 교차로,　,041-840-8507,공주시청,2024-08-27
겸용도로분리,의당로1R,0.19,1.6~3.5,코아루 앞 교차로,신관동 374-21,　코아루아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,전막1길L,0.22,3.0~4.5,코아루 앞 교차로,전막교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,의당로1L,0.19,3.4~3.5,신관동 571-13,유진한아름아파트정문,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,고마나루길(1)1R,0.17,1.6,문예회관교차로,무령왕릉 출구,　무령왕릉,041-840-8507,공주시청,2024-08-27
겸용도로분리,고마나루길(1)2R,0.5,2.7~2.8,공예품전시판매관,한옥마을 서측 교차로,　한옥마을,041-840-8507,공주시청,2024-08-27
겸용도로비분리,고마나루길(1)3R,0.2,2.7~2.8,한옥마을 서측 교차로,곰나루교차로,고마,041-840-8507,공주시청,2024-08-27
겸용도로분리,고마나루길(1)1L,0.7,2.7~6.0,곰나루교차로,공주종합운동장,공주종합운동장,041-840-8507,공주시청,2024-08-27
겸용도로비분리,고마나루길(1)2L,0.17,1.6,공주종합운동장,문예회관교차로,　공주문예회관,041-840-8507,공주시청,2024-08-27
겸용도로분리,신관로(2)1R,0.56,2.4~4.3,금강둔치교차로,대학로공영주차장 앞 삼거리,　대동다숲아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,신관로(2)1L,0.36,3.1~3.4,대학로공영주차장 앞 삼거리,종합터미널 앞 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,신관로(2)2L,0.12,3,종합터미널 앞 교차로,경복궁웨딩홀 건너편,공주종합버스터미널,041-840-8507,공주시청,2024-08-27
겸용도로분리,신관로(2)3L,0.09,4.5,경복궁웨딩홀 건너편,금강둔치교차로,공주종합버스터미널　,041-840-8507,공주시청,2024-08-27
겸용도로비분리,한적1길1R,0.07,2,신관초교차로,신관유치원 앞 삼거리,　신관초교,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적1길2R,0.25,2,신관유치원 앞 삼거리,신관동 676 교차로,　,041-840-8507,공주시청,2024-08-27
겸용도로비분리,한적1길3,0.33,2,신관동 676 교차로,우남퍼스트빌아파트,우남퍼스트빌아파트 북서측,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적1길4,0.47,3,우남퍼스트빌아파트 북서측,금흥동 301-2,우남퍼스트빌아파트,041-840-8507,공주시청,2024-08-27
겸용도로비분리,장기로1,0.16,3,금흥동 624(법원 주차장 측면 교차로),금흥교차로,대전지방법원 공주지원,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적1길2L,0.25,2,신관동 676번지 교차로,신관유치원 앞 삼거리,주공5단지아파트　,041-840-8507,공주시청,2024-08-27
겸용도로비분리,한적1길1L,0.07,2,신관유치원 앞 삼거리,신관초교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적2길1R,0.38,4,신관동 676 교차로,법원 앞 회전교차로,　,041-840-8507,공주시청,2024-08-27
겸용도로비분리,신금1길1R,0.09,2,법원 앞 회전교차로,금흥교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,신금1길2R,0.83,2,금흥교차로,새뜸현대4차아파트,　새뜸현대3차아파트,041-840-8507,공주시청,2024-08-27
겸용도로비분리,신금1길1L,0.83,2.0~3.0,새뜸현대4차아파트,금흥교차로,쿠스코,041-840-8507,공주시청,2024-08-27
겸용도로분리,신금1길2L,0.09,5,금흥교차로,대전지방검찰청 공주지청 정문,대전지방법원 공주지원,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적2길1L,0.38,4,대전지방검찰청 공주지청 정문,신관동 676번지 교차로,대전지방검찰청 공주지청 정문,041-840-8507,공주시청,2024-08-27
겸용도로분리,신금2길1R,0.28,2.0~2.2,쿠스코 앞 교차로,대아아파트 앞 교차로,　새뜸현대3차아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,신금2길1L,0.28,2.4~2.2,대아아파트 앞 교차로,쿠스코앞교차로,힐스테이트아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,공주대학로1R,0.52,2.4~2.7,대학로교차로,공주대학교 후문,공주대학교,041-840-8507,공주시청,2024-08-27
겸용도로비분리,공주대학로2R,0.47,2.2~2.5,공주대학교 후문,신관초교차로,대학로공영주차장,041-840-8507,공주시청,2024-08-27
겸용도로비분리,공주대학로1L,0.28,2.1,신관초교차로,대학로공영주차장 앞 삼거리,　,041-840-8507,공주시청,2024-08-27
겸용도로분리,공주대학로2L,0.08,2.2,대학로공영주차장 앞 삼거리,신관동 222-1(GS25편의점 앞),,041-840-8507,공주시청,2024-08-27
겸용도로비분리,공주대학로3L,0.11,1.2,신관동 222-1(GS25편의점 앞),신관동 192-18(대동다숲 앞 삼거리),공주대학교 후문 건너편,041-840-8507,공주시청,2024-08-27
겸용도로분리,공주대학로4L,0.52,2.6~2.8,신관동 192-18(대동다숲앞 삼거리),대학로교차로,"현대1,2차아파트",041-840-8507,공주시청,2024-08-27
겸용도로비분리,유구마곡사로1,0.61,2,유구교 서단,유마교 서단,　,041-840-8507,공주시청,2024-08-27
겸용도로분리,만천길1R,0.23,3.2,만천교,만년교앞교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,만천길1L,0.23,3.2,만년교앞교차로,만천교,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,유구마곡사로2R,0.13,2.8,유마교 서단,유마교삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,창말길1L,0.68,0.9~2.0,유마교삼거리,유구교교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,금계산로2L,0.08,1.8,유구교 서단,유구교교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,중앙2길1R,0.78,2.1~2.3,만년교앞교차로,유구성심의원 앞 교차로,유구터미널 건너편,041-840-8507,공주시청,2024-08-27
겸용도로비분리,중앙2길2R,0.47,1.5~2.2,유구성심의원 앞 교차로,유구읍 석남리 439,,041-840-8507,공주시청,2024-08-27
겸용도로분리,중앙2길3R,0.02,3,유구읍 석남리 439,수촌삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로분리,금계산로1L,0.08,2.8,수촌교삼거리,수촌삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로분리,중앙2길1L,0.02,1.8,수촌삼거리,유구읍 석남리 226-4,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,중앙2길2L,0.47,1.7~2.8,유구읍 석남리 226-4,유구성심의원 앞 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,중앙2길3L,0.11,3.2,유구성심의원 앞 교차로,터미널사거리,유구터미널,041-840-8507,공주시청,2024-08-27
겸용도로비분리,중앙2길4L,0.64,2.8~4.3,터미널사거리,만년교앞교차로,유구터미널,041-840-8507,공주시청,2024-08-27
겸용도로비분리,한적2길2R,0.5,2,우남퍼스트빌아파트 남서측,금흥동 624(법원 주차장 측면 교차로),대전지방법원 공주지원,041-840-8507,공주시청,2024-08-27
겸용도로비분리,한적2길2L,0.5,2,금흥동 624(법원 주차장 측면 교차로),우남퍼스트빌아파트 남서측,우남퍼스트빌아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적2길3R,0.63,2.7~3.1,우남퍼스트빌아파트 북동측,스타벅스 신관점 앞 교차로,신관지구대,041-840-8507,공주시청,2024-08-27
겸용도로분리,번영1로(1)1R,0.1,2.5,스타벅스 신관점 앞 교차로,신관동 31-15,,041-840-8507,공주시청,2024-08-27
겸용도로분리,번영1로(1)1L,0.1,2.8,신관동 31-15,스타벅스 신관점 앞 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,한적2길3L,0.63,2.8~3.0,스타벅스 신관점 앞 교차로,우남퍼스트빌아파트 북동측,대전지방검찰청 공주지청 정문,041-840-8507,공주시청,2024-08-27
겸용도로분리,금강신관공원,3.5,5.8,금강신관공원,금강신관공원,,041-840-8507,공주시청,2024-08-27
겸용도로분리,웅진로1R,0.22,4,금강교 남단,연문교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,왕릉로1R,0.22,3.5~6.1,연문교차로,공주교육지원청,왕릉교,041-840-8507,공주시청,2024-08-27
겸용도로비분리,왕릉로2R,0.09,4.8,공주교육지원청,공주중학교,공주중교,041-840-8507,공주시청,2024-08-27
겸용도로분리,왕릉로3R,0.46,4.5,공주중학교,금성동 133-3,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,왕릉로4R,0.61,2.0~3.0,금성동 133-3,경찰서앞교차로,무령왕릉,041-840-8507,공주시청,2024-08-27
겸용도로비분리,왕릉로1L,0.71,1.4~1.8,경찰서앞교차로,금성동 155-5,금성여고,041-840-8507,공주시청,2024-08-27
겸용도로비분리,왕릉로2L,0.09,2,공주중학교건너편,황새바위성지 주차장,,041-840-8507,공주시청,2024-08-27
겸용도로분리,왕릉로3L,0.22,4.0~6.1,황새바위성지 주차장,연문교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,웅진로2L,0.12,3.1,연문교차로,공산성 출구,공산성,041-840-8507,공주시청,2024-08-27
겸용도로비분리,웅진로3L,0.1,0,공산성 출구,금강교 남단,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,웅진로4L,0.6,1.8,금강교 남단,금강교 북단,,041-840-8507,공주시청,2024-08-27
자전거 전용도로,금강자전거길1,26.18,3,탄천면 유하리,세종시 경계,금강신관공원,041-840-8507,공주시청,2024-08-27
자전거 전용차로,금강자전거길2,0.82,2.2,석장리동 산74-13,석장리동 137-5,석장리박물관,041-840-8507,공주시청,2024-08-27
