행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,우,투수콘,572.29,1.92,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,좌,투수콘,792.5,1.94,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,기타도로225,자전거보행자겸용도로,우,투수콘,521.76,1.97,0,0,0,경계석,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,우,투수콘,551.28,1.89,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,91.64,1.65,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,329.15,2.3,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,104.45,1.85,0,0,0,도색,
탕정면,탕정면 동산리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,좌,투수콘,697.39,1.89,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,246.58,0.91,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,147.7,1.29,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,투수콘,167.32,0.99,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,좌,투수콘,432.75,1.96,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_624,자전거보행자겸용도로,우,투수콘,346.63,1.8,0,0,0,도색,
음봉면,음봉면 산동리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,투수콘,46.47,1.03,0,0,0,도색,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거전용도로,우,투수콘,324.17,1.95,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-2,자전거전용도로,우,투수콘,11.78,3.6,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,43.23,1.98,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,43.37,1.94,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,중로1-4,자전거보행자겸용도로,우,투수콘,136.82,1.98,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,대로3-3,자전거보행자겸용도로,우,투수콘,81.67,1.42,0,0,0,경계석,
도고면,도고면 효자리,도시계획과,19000101,기타도로,자전거보행자겸용도로,좌,화학재질,131.1,1.61,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,중로1-1,자전거보행자겸용도로,좌,투수콘,33.96,1.35,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,화학재질,9.69,3.34,0,0,0,경계석,
온양1동,온천동,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,화학재질,10.53,3.34,0,0,0,경계석,
온양3동,모종동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,48.56,1.58,0,0,0,기타,
