연번,읍면,노선명,시점,종점,자전거도로 유형,연장(km),자전거도로너비(m),데이터기준일자
1,홍성읍,충서로,소향리 379(소향삼거리),소향리65-2(덕산통사거리),자전거보행자겸용도로,1.56,2.0~2.5,2025-09-18
2,홍성읍,충서로,소향리65-2(덕산통사거리),대교리 706(대교사거리),자전거보행자겸용도로,0.84,2.5~3.0,2025-09-18
3,홍성읍,흥덕서로,월산리 612-9,소향리 379(소향삼거리),자전거보행자겸용도로,2.58,2.25,2025-09-18
4,홍성읍,조양로247번길,고암리 1041,고암리 1051,자전거보행자겸용도로,0.1,1.1,2025-09-18
5,홍성읍,조양로246번길,고암리 344-5(역재교차로),고암리 420-3,자전거보행자겸용도로,0.83,1.3,2025-09-18
6,홍성읍,충절로,오관리 366-10,고암리 541-5,자전거보행자겸용도로,0.74,1.5~2.8,2025-09-18
7,홍성읍,남장로,옥암리 271-8(옥암3교차로),고암리 673-12,자전거보행자겸용도로,0.26,1.4~1.5,2025-09-18
8,홍성읍,남장로,남장리 산131(청운대학교),남장리 622,자전거보행자겸용도로,1.4,1.5~3.5,2025-09-18
9,홍성읍,남장중로,남장리 624,남장리 628,자전거보행자겸용도로,0.86,1.4,2025-09-18
10,홍성읍,,남장리 624,남장리 625,자전거보행자겸용도로,0.33,1.4~1.5,2025-09-18
11,홍성읍,홍장북로,고암리 830-3,고암리 673-12,자전거보행자겸용도로,1.86,1.4,2025-09-18
12,홍성읍,남장로+충절로953번길,고암리 677,고암리 1192,자전거보행자겸용도로,0.53,1.5~1.7,2025-09-18
13,홍성읍,충절로953번길,고암리 1192,고암리 1081,자전거보행자겸용도로,0.45,1.2~1.5,2025-09-18
14,홍성읍,문화로33번길,옥암리 1106(옥암2교),오관리 576-2(옥암교),자전거보행자겸용도로,0.22,1.4,2025-09-18
15,홍성읍,월산로50번길,월산리 875,월산리 92-7,자전거보행자겸용도로,1.54,1.5~2.0,2025-09-18
16,홍성읍,법원로,월산리 871,월산리 904,자전거보행자겸용도로,0.94,1.5,2025-09-18
17,홍성읍,월산로,월산리 237-22,오관리 841-6,자전거보행자겸용도로,0.57,1.5,2025-09-18
18,홍성읍,월산로30번길,월산리 900,월산리 880,자전거보행자겸용도로,0.6,1.5,2025-09-18
19,홍성읍,소향길91번길,소향리 421,소향리 388-2,자전거보행자겸용도로,0.4,1.5,2025-09-18
20,홍성읍,조향로33번길,오관리 841-6(신촌삼거리),옥암리 58-6,자전거보행자겸용도로,0.86,1.5,2025-09-18
21,홍성읍,충서로,옥암리 241-1(옥암3교차로),소향리 379(소향삼거리),자전거보행자겸용도로,3.72,1.1~2.5,2025-09-18
