행정구역,섬 이름,총 면적(제곱킬로미터),해안선 길이(킬로미터),육지와의 거리(킬로미터_직선),가구,인구,남,여,식수(상수도),전기,읍면동사무소,경찰관서,소방관서,금융기관,초중고 운영 및 폐교 현황,의료,특산물,공용화장실,대합실,마트,편의점(매점),카페(다방포함), ATM(현금지급기 여부),연도_연륙(차도선여부),요금(왕복_편도)_소요시간,출항지_기항지,섬내 교통수단
여수시 화정면,낭도,5.3,19.5,"23.3 여수연안여객선터미널, 낭도선착장 순",158,235,117,118,지방,송전,중계소(1), 치안센터(1),의용소방대(1),농협(1),초폐교(2)중폐교(1)>야영장,보건진료소(1),서대막걸리,2,1,1,2,2,1,연육연도(차도선),(편도14800)_110분,여수연안여객선터미널_낭도선착장,
여수시 삼산면,손죽도,2.6,11.6,"83 여수연안여객선터미널, 손죽선착장 순",205,290,171,119,지하수,내부 발전소,중계소 (1), 치안센터(1),의용소방대(1),우체국(1), 초폐교(1),보건진료소(1),쏨뱅이,2,1,X,1,1,X,X(여객선),(편도26600)_90분,여수연안여객선터미널_손죽선착장,도보
여수시 남면,연도,6.9,35.6,"83 여수금오도, 안도, 역포 연도항 순",239,402,195,207,지하수,송전,중계민원처리소(1),연도지소(1),의용소방대(1),우체국(1)농협(1), 초>분교(1)중폐교(1),보건지소(1),자연산 전복소라방풍광어,X,1,1,1,1,1,X(차도선),(편도15800)_120분,여수_역포(연도),마을버스
고흥군 금산면,연홍도,0.4,4,"0.5 신양선착장, 연홍선착장 순",57,100,46,54,지방,송전,X,X,의용소방대(1),X, 초폐교(1)>미술관,보건진료소(1),멸치다시마,2,X,X,X,3,1,X(도선),(왕복5000원)_5분,거금도신양선착장_연홍선착장,도보
보성군 벌교읍,장도,2.2,15.9,"4.9 벌교 상진항, 장도선착장 순",175,298,146,152,광역,송전,X,치안센터(1),의용소방대(1),X,초(1)폐교(1),보건진료소(1),고막낙지땅콩바지락,2,2,X,X,X,X,X(도선),(편도3000)_30분,벌교 상진항_장도선착장,마을버스
강진군 도암면,가우도,0.3,6.4,"0.5 저두출렁다리, 가우도입구 순",19,57,24,33,광역,송전,X,치안센터(1),의용소방대(1),X,초폐교(1),X,황가오리굴,3,X,x,1,2,X,연륙(인도),X,X,도보
무안군 망운면,탄도,0.5,5,"3 조금나루, 탄도항 순",30,47,23,24,지하수,송전,X,X,X,X,폐교(1)>펜션,X,낙지감태굴,X,X,X,X,X,X,X(차도선),(왕복6000)_20분,조금나루선착장_탄도선착장,도보차량X
영광군 낙월면,안마도,5.8,37,"43.3 계마항, 대석만도, 안마도항 순",114,174,102,72,간이,내부 발전소,출장소(1),치안센터(1),의용소방대(1),X,초휴교(1)중폐교(1),보건지료소(1),꽃게민어멸치,X,1,X,1,X,X,X(차도선),(편도12100)_140분,계마항_안마도항,도보
완도군 소안면,소안도,23.2,42,"14.5 화흥포항, 소안항 순",1178,2423,1175,1248,지방,송전,면사무소(1),파출소(1),안전센터(1),농협(1),초(1)중(1)고폐교(1),보건지소(1),전복김미역,4,1,1,2,2,5,X(차도선),화흥포(편도7700)_60분해남(편도6500)_35분동천항(편도1700)_10분,화흥포 선착장해남 땅끝 갈두항동천항_소안항,택시버스
완도군 생일면,생일도,13.8,23,"6.4 당목항, 서성항직선 순",487,815,428,387,지방,송전,면사무소(1),파출소(1),안전센터(1),농협(1)우체국(1),초(1)중(1),보건지소(1),다시마전복,1,1,1,1,1,"2(농협, 편의점)",X(차도선),(편도3300)_30분,완도 당목항_생일도서성항_용출선착장,행복버스(승합차)
완도군 청산면,여서도,3.9,10,"39.6 완도항, 여서선착장 순",57,99,55,41,지하수,내부 발전소,X,출장소(1),의용소방대(1),X,초폐교(1),보건진료소(1),미역삼치,1,1,X,X,X,X,X(차도선),(편도8800)_180분,완도여객선_여서도항,도보
완도군 금당면,금당도,12.9,37.4,"5.4 노력항, 가학항 순",502,958,482,476,지방,송전,면사무소(1),파출소(1),안전센터(1),우체국(1) 농협(1)수협(1),초(1)중(1),보건지소(1),전복다시마미역,2,2,1,4,1,4,X(여객선),(편도3700)_30분(편도6350)_45분,노력선착장_금당도 가학항녹동여객선_울포항,버스택시
진도군 조도면,관매도,5.73,17,"24 진도항 팽목, 조도, 관매도 순",138,221,103,118,지방,송전,X,치안센터(1),의용소방대(1),X,초폐교(1),진료소(1),미역톳쑥,3,1,X,2,X,1,X(차도선),새섬두레호 (편도11000)_80분 한림페리오 (편도13000)_120분,진도항_관매도항,도보
진도군 조도면,대마도,2.8,14.5,"18.5 진도항 팽목, 조도, 대마도 순",69,108,49,59,해수담수,송전,X,치안센터(1),의용소방대(1),X,초(1),진료소(1),미역톳멸치,X,X,X,1,X,X,X(차도선),(편도12000)_100분 ,진도항_대마도항,도보
진도군 고군면,금호도,0.58,3.2,"1.5 회동항, 금호도 순",36,67,34,33,지방,송전,X,X,의용소방대(1),X,초휴교(1),X,멸치김,X,X,X,X,X,X,X(도선),(편도3000)_10분,회동선착장_금호도선착장,도보
신안군 안좌면,반월도,1.9,6.7,"0.6 두리선착장, 박월도선착장 순",57,199,96,103,지방,송전,출장소(1),X,X,X,초폐교(1)>출장소,보건진료소(1),김전복낙지,2,X,X,x,1,X,연도(인도),X_10분,두리선착장_퍼플교문브릿지,도보
신안군 안좌면,박지도,1.1,4.6,"0.4 두리선착장, 박지도선착장",17,29,13,16,지방,송전,X,X,X,X,X,X,낙지,2,X,X,X,X,X,연도(인도),X_20분,두리선착장_퍼플교,도보
신안군 증도면,대기점도,0.3,3.1,"10.6 송공여객선터미널, 대기점도선착장 순",29,220,123,97, 간이 ,송전,X,X,X,X,초폐교(1)>공방,X,낙지,1,1,X,X,X,X,X(차도선),"(편도6,000원)_62분(편도3,000원)_25분"," 압해도 송공항, 지도 송도항_기점도선착장","차량, 도보"
신안군 증도면,소기점도,0.3,3,"1.8 송공여객선터미널, 소기점도선착장 순",7,15,11,4, 간이 ,송전,X,X,X,X,X,X,낙지,1,X,X,X,X,X,X(차도선),"(편도6,000원)_55분(편도3,000원)_25분"," 압해도 송공항, 지도 송도항_기점도선착장","차량, 도보"
신안군 증도면,소악도,0.6,6.75,"2.3 송공여객선터미널, 소악도 입구 순",11,22,12,10, 간이 ,송전,X,X,X,X,초페교(1),X,김낙지,1,1,X,X,X,X,X(차도선),(편도6000원)_40분(편도3000원)_25분," 압해도 송공항, 지도 송도항_소악도선착장","차량, 도보"
