위치(소재지),산명(권역명),노선,노선수,거리(km),비고
완주군 동상면 대아리,대아수목원,"주차장~3전망대, 주차장~금낭화회관 주차장~대피소 등",6개노선,12,자체
진안군 백운면 백암리,선각산,"선각산~안내실, 선각산~대유마을 등",6개노선,13,자체
진안군 백운면 덕현리,내동산,덕현리 윤동~내동산,1개노선,1,자체
완주군 동상면 사봉리,연석산,연동~정상,1개노선,4,자체
전주시 완산구 서서학동,완산공원,"갤러리아~팔각정, 완산초교~팔각정, 대명아파트~팔각정, 삼성맨션~팔각정",4개노선,5,자체
남원시 보절면 도룡리,천황봉,용호정~천황봉,1개노선,4,자체
장수군 계북면 명덕리,남덕유산,"명덕리 반송마을~할미봉, 백두대간(남덕유산~육십령)",2개노선,8,자체
순창군 복흥면 서마리,산림박물관,주차장~정상,1개노선,2,자체
완주군 동상면 신월리,장군봉,밤목마을~왕사봉,1개노선,31,완주군
완주군 동상면 대아리,운암산,산천~정상~운용,1개노선,8,완주군
완주군 동상면 대아리,중수골,수목원~장재마을,1개노선,9,완주군
