읍면동,오름명,소재지,위도,경도,주차장,화장실,표고(m),데이터기준일자
대정읍,금산,제주특별자치도 서귀포시 대정읍 상모리 977,33.2351075,126.285421,N,N,63.5,2025-08-05
대정읍,송악산(절울이),제주특별자치도 서귀포시 대정읍 상모리 산 2,33.1990538,126.2897947,Y,Y,104,2025-08-05
대정읍,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1593-2,33.2064948,126.2812141,Y,Y,40.7,2025-08-05
대정읍,가시오름 ,제주특별자치도 서귀포시 대정읍 동일리 1706,33.2469855,126.2431576,Y,N,106.5,2025-08-05
대정읍,녹남봉,제주특별자치도 서귀포시 대정읍 신도리 808-4,33.2793046,126.1959016,N,N,100.4,2025-08-05
대정읍,단산(바굼지오름),제주특별자치도 서귀포시 대정읍 인성리 21-2,33.2428093,126.2883599,N,N,158,2025-08-05
남원읍,물영아리,제주특별자치도 서귀포시 남원읍 수망리 산 188,33.3689123,126.6930259,Y,N,508,2025-08-05
남원읍,머체오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.3405246,126.6597625,N,N,425.8,2025-08-05
남원읍,이승이,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,33.3402449,126.6218399,Y,Y,539,2025-08-05
남원읍,사려니오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.3402198,126.6457077,N,N,523,2025-08-05
남원읍,민오름,제주특별자치도 서귀포시 남원읍 수망리 산 158-1,33.3501463,126.6770272,Y,N,446.8,2025-08-05
남원읍,운지오름,제주특별자치도 서귀포시 남원읍 남원리 760-2,33.2993956,126.7047237,N,N,113.5,2025-08-05
남원읍,자배봉,제주특별자치도 서귀포시 남원읍 위미리 산 132-2,33.3010088,126.6769344,Y,N,211.3,2025-08-05
남원읍,생길이,제주특별자치도 서귀포시 남원읍 신례리 산 33-1,33.3056232,126.6424838,N,N,260,2025-08-05
남원읍,큰걸세,제주특별자치도 서귀포시 남원읍 하례리 산 124,33.2822357,126.619879,Y,Y,158,2025-08-05
남원읍,족은걸세,제주특별자치도 서귀포시 남원읍 하례리 산 130,33.2808166,126.6179758,N,N,150,2025-08-05
남원읍,수악,제주특별자치도 서귀포시 남원읍 하례리 산 10,33.324589,126.6094642,N,N,474.3,2025-08-05
남원읍,한남리머체왓숲길,제주특별자치도 서귀포시 남원읍 한남리 1622-3,33.3305697,126.6740675,Y,Y,0,2025-08-05
성산읍,일출봉,제주특별자치도 서귀포시 성산읍 성산리 1,33.4593257,126.9397981,Y,Y,179,2025-08-05
성산읍,말미오름(멀미오름),제주특별자치도 서귀포시 성산읍 시흥리 2661,33.477089,126.887256,Y,Y,145.9,2025-08-05
성산읍,말미알오름(멀미알오름),제주특별자치도 서귀포시 성산읍 시흥리 2656,33.480393,126.8853942,N,N,126.5,2025-08-05
성산읍,식산봉(바우오름),제주특별자치도 서귀포시 성산읍 오조리 313,33.4656396,126.9199377,N,N,60.2,2025-08-05
성산읍,큰물메(대왕수봉),제주특별자치도 서귀포시 성산읍 고성리 2039,33.4396884,126.9015743,Y,Y,137.3,2025-08-05
성산읍,궁대악,제주특별자치도 서귀포시 성산읍 수산리 4711-8,33.4355506,126.8231463,N,N,238.8,2025-08-05
성산읍,뒤꾸부니,제주특별자치도 서귀포시 성산읍 수산리 4504,33.4294349,126.8267634,N,N,206.2,2025-08-05
성산읍,모구리오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.4090179,126.8286517,Y,Y,232,2025-08-05
성산읍,유건에오름,제주특별자치도 서귀포시 성산읍 난산리 2302,33.4131391,126.8479075,N,N,190.2,2025-08-05
