공간정보,관리지점명칭,상세지점명칭,산명
POINT (242988.497 279997.898),기타,십이폭포입구표지판,성치산
POINT (243206.162 279975.555),화장실,화장실1,성치산
POINT (243505.101 279044.242),화장실,화장실2,성치산
POINT (243292.214 279044.362),기타,쉼터,성치산
POINT (242879.794 278974.807),이정표,이정표1,성치산
POINT (242885.782 278930.908),이정표,이정표2,성치산
POINT (242877.581 278698.906),이정표,이정표3,성치산
POINT (242521.167 278266.287),이정표,이정표4,성치산
POINT (242313.322 277830.76),이정표,이정표5,성치산
POINT (242152.921 277598.735),이정표,이정표6,성치산
POINT (242247.178 276781.045),정상,성봉정상,성치산
POINT (242864.797 277825.88),정상,신동재정상이정표7,성치산
POINT (240090.936 279997.875),기타,광대정마을,성치산
POINT (240101.43 279987.491),시종점,시종점,성치산
POINT (240435.835 277359.514),분기점,분기점,성치산
POINT (241036.732 276684.94),분기점,분기점,성치산
POINT (242156.538 277612.472),분기점,분기점,성치산
POINT (242261.6 276839.318),분기점,분기점,성치산
POINT (242514.424 278259.624),분기점,분기점,성치산
POINT (242970.641 280002.73),시종점,시종점,성치산
POINT (248529.11 297281.932),기타,매덕이마을회관,국사봉
POINT (249713.044 298059.528),정상,국사봉정상갈림길1-2,국사봉
POINT (249910.152 298663.11),기타,묘지2-1,국사봉
POINT (249736.043 299437.046),화장실,"묘지2-2,화장실",국사봉
POINT (249924.564 299798.842),기타,신안1리마을회관,국사봉
POINT (248642.237 298038.634),기타,김해김씨재각,국사봉
POINT (248512.052 297293.276),시종점,시종점,국사봉
POINT (248608.192 298059.828),시종점,시종점,국사봉
POINT (248687.584 298378.538),시종점,시종점,국사봉
POINT (248704.03 297317.162),분기점,분기점,국사봉
POINT (248836.211 297366.126),분기점,분기점,국사봉
POINT (249483.228 298258.989),분기점,분기점,국사봉
POINT (249546.289 298264.044),분기점,분기점,국사봉
POINT (249663.961 298200.144),분기점,분기점,국사봉
POINT (249704.739 298065.009),분기점,분기점,국사봉
POINT (249717.409 298073.38),분기점,분기점,국사봉
POINT (249721.915 298151.528),분기점,분기점,국사봉
POINT (249916.803 299798.185),시종점,시종점,국사봉
POINT (224568.572 355078.052),조망점,조망점,망경대
POINT (224574.693 355077.8),기타,계단시점,망경대
POINT (224576.573 355075.378),조망점,조망점,망경대
POINT (224580.787 355071.204),기타,계단종점,망경대
POINT (224581.043 355052.462),기타,계단시점,망경대
POINT (224708.343 354870.088),기타,계단시점,망경대
POINT (224716.758 354869.107),기타,계단종점,망경대
POINT (224725.795 354857.572),훼손지,훼손지종점,망경대
POINT (224742.771 354841.677),위험지역,위험지역,망경대
POINT (224751.85 354826.142),위험지역,위험지역시점,망경대
POINT (224756.624 354828.09),위험지역,위험지역종점,망경대
POINT (224755.902 354828.879),안내판또는지도,안내판,망경대
POINT (224769.268 354822.955),기타,頂上碑,망경대
POINT (224769.379 354823.393),안내판또는지도,안내도,망경대
POINT (224770.549 354828.233),조망점,조망점,망경대
POINT (217040.608 358932.168),조망점,조망점,고려산
POINT (224561.802 316281.819),분기점,분기점,빈계산
POINT (240692.497 300258.885),시종점,시종점,대전둘레길만인산
POINT (225167.548 323857.19),기타,기타,갑하산
POINT (224243.233 318874.59),기타,기타,갑하산
POINT (224504.374 318895.347),기타,갑하산7번포인트점,갑하산
POINT (224903.121 319899.678),조망점,조망점,갑하산
POINT (224273.017 319602.989),기타,신선폭포,갑하산
POINT (224292.418 319609.689),기타,기타,갑하산
POINT (224284.23 318489.603),기타,기타,갑하산
POINT (223712.427 320795.262),기타,기타,갑하산
POINT (223769.051 320738.791),안내판또는지도,안내판,갑하산
POINT (223762.092 320727.885),기타,기타,갑하산
POINT (223844.871 320317.051),기타,기타,갑하산
POINT (224110.941 320083.326),조망점,조망점,갑하산
POINT (223583.578 320063.581),기타,기타,갑하산
POINT (222822.84 321590.148),동굴,서고청굴,갑하산
POINT (222929.06 322071.359),기타,기타,갑하산
POINT (224859.59 321030.02),기타,기타,갑하산
POINT (224244.599 318873.104),조망점,조망점,갑하산
POINT (222750.442 321611.89),시종점,시종점,갑하산
POINT (222820.821 322052.686),시종점,시종점,갑하산
POINT (223072.865 321859.325),분기점,분기점,갑하산
POINT (223130.763 320866.684),시종점,시종점,갑하산
POINT (223275.411 321666.824),분기점,분기점,갑하산
POINT (223302.506 321578.86),시종점,시종점,갑하산
POINT (223389.639 320831.14),분기점,분기점,갑하산
POINT (223438.007 320112.395),시종점,시종점,갑하산
POINT (223446.625 320819.193),분기점,분기점,갑하산
POINT (223584.619 320838.109),시종점,시종점,갑하산
POINT (223786.392 321448.426),분기점,분기점,갑하산
POINT (223819.436 323047.781),시종점,시종점,갑하산
POINT (223930.119 318798.835),시종점,"사봉마을 안내판,갑하산",갑하산
POINT (223954.108 320231.191),분기점,분기점,갑하산
POINT (223998.961 323102.067),분기점,분기점,갑하산
POINT (224020.023 323804.142),시종점,시종점,갑하산
POINT (224075.336 319765.82),분기점,분기점,갑하산
POINT (224098.171 319090.348),분기점,분기점,갑하산
POINT (224203.774 318501.884),시종점,시종점,갑하산
POINT (224205.025 320007.785),분기점,분기점,갑하산
POINT (224251.082 319493.433),분기점,분기점,갑하산
POINT (224319.41 320102.916),분기점,분기점,갑하산
POINT (224396.606 318683.101),시종점,종점,갑하산
POINT (224630.769 319370.48),분기점,분기점,갑하산
POINT (224860.279 323964.152),시종점,시종점,갑하산
POINT (224909.523 320123.967),분기점,분기점,갑하산
POINT (224820.254 378476.313),시종점,시종점,서운산
POINT (225795.03 377263.978),시종점,"시종점,엽돈제",서운산
POINT (213808.606 323910.289),기타,광대정마을,성치산
POINT (224721.974 372797.093),시종점,엽돈재마을,만뢰산
POINT (224717.041 372798.952),기타,엽돈재마을,만뢰산
POINT (253950.733 295867.992),시종점,시종점,천태산
POINT (253987.96 295875.481),정상,정상석,천태산
POINT (253975.587 295869.867),정상,정상석,천태산
POINT (251467.509 301805.913),시종점,시종점,대성산
POINT (188844.917 354991.61),기타,페전투호,안락산
POINT (189425.572 355084.748),기타,암석,안락산
POINT (189519.905 355125.025),기타,안락산,안락산
POINT (189759.832 355474.629),기타,묘지 1기,안락산
POINT (189619.084 355693.195),이정표,이정표 신설 요함.,안락산
POINT (189533.491 356067.169),기타,기타,안락산
POINT (188842.533 354996.729),기타,토성봉,안락산
POINT (189503.608 356165.708),시종점,시종점,안락산
POINT (189520.038 355124.119),기타,삼각점(예산303),안락산
POINT (189809.061 355466.024),분기점,분기점,안락산
POINT (189835.653 355496.672),시종점,시종점,안락산
POINT (188030.261 357274.508),시종점,시종점,안락산
POINT (209005.399 321941.946),기타,등산로전경,구절산
POINT (209114.897 321963.189),기타,등산로전경,구절산
POINT (209207.501 321898.351),기타,등산로전경,구절산
POINT (209295.419 321902.359),정상,정상,구절산
POINT (209341.086 321909.325),기타,기암,구절산
POINT (209156.771 321373.994),기타,작업로,구절산
POINT (208934.388 321272.445),기타,저수지,구절산
POINT (208804.221 321331.205),기타,구절산원경,구절산
POINT (208803.174 321364.721),기타,농로,구절산
POINT (209045.336 320994.571),기타,임도,구절산
POINT (209135.066 321363.942),분기점,분기점,구절산
POINT (209570.342 320580.511),시종점,시종점,구절산
POINT (208858.108 321743.736),조망점,조망점,구절산
POINT (208934.431 321925.745),훼손지,훼손지,구절산
POINT (209405.745 321641.135),조망점,조망점,구절산
POINT (209367.406 321546.876),조망점,조망점,구절산
POINT (234318.66 364665.665),기타,송정방죽,국사봉
POINT (234090.278 364430.964),시종점,시종점,국사봉
POINT (234519.684 365126.977),분기점,분기점,국사봉
POINT (234760.36 365456.094),분기점,분기점,국사봉
POINT (220714.961 362610.209),기타,백운정,백운산
POINT (221051.935 362035.338),기타,백운사,백운산
POINT (221154.316 362054.036),정상,정상,백운산
POINT (221029.664 361796.657),조망점,조망점,백운산
POINT (220396.519 362843.522),시종점,시종점,백운산
POINT (220623.593 363085.512),시종점,시종점,백운산
POINT (220935.464 361986.426),분기점,분기점,백운산
POINT (221017.272 362019.377),분기점,분기점,백운산
POINT (221024.71 361933.585),분기점,분기점,백운산
POINT (221040.895 361898.576),분기점,분기점,백운산
POINT (221057.243 362037.045),시종점,시종점,백운산
POINT (221153.647 362055.523),시종점,시종점,백운산
POINT (221219.143 360879.928),시종점,시종점,백운산
POINT (221428.091 361462.012),시종점,시종점,백운산
POINT (220934.366 361986.681),정상,"정상, 조망점",백운산
POINT (221217.507 360881.384),조망점,조망점,백운산
POINT (175258.99 321251.127),기타,금곡저수지,백월산
POINT (175149.779 321663.32),벤치,벤치,백월산
POINT (175171.937 321690.892),기타,조난표,백월산
